"","log2FoldChange","padj","Factor"
"KXJ04191.1",4.18774427048802,1.93352585801779e-42,"Intercept"
"KXJ04192.1",7.42164450408757,0,"Intercept"
"KXJ04193.1",8.38187396199897,0,"Intercept"
"KXJ04194.1",7.57264340342845,0,"Intercept"
"KXJ04195.1",9.01288438548346,0,"Intercept"
"KXJ04196.1",9.24657447822629,0,"Intercept"
"KXJ04197.1",2.44040969982063,1.26331880616231e-09,"Intercept"
"KXJ04198.1",7.24773784192581,0,"Intercept"
"KXJ04199.1",5.32380018550173,1.01045885703149e-156,"Intercept"
"KXJ04200.1",6.07275693290623,1.72630959538751e-265,"Intercept"
"KXJ04201.1",5.77471390168068,1.47791039289096e-255,"Intercept"
"KXJ04202.1",9.3584956663889,0,"Intercept"
"KXJ04203.1",9.07083204976011,0,"Intercept"
"KXJ04204.1",4.26738937930871,2.22536357079451e-47,"Intercept"
"KXJ04205.1",4.22355717177833,3.12997845270624e-39,"Intercept"
"KXJ04206.1",3.383977093702,1.7342305175069e-24,"Intercept"
"KXJ04207.1",2.89135428606935,2.42918407605679e-13,"Intercept"
"KXJ04208.1",4.3262887476078,1.40082973019702e-16,"Intercept"
"KXJ04209.1",7.24762297084347,1.5490992112313e-145,"Intercept"
"KXJ04210.1",9.07680114403603,0,"Intercept"
"KXJ04211.1",7.56501832372912,1.97418688873546e-225,"Intercept"
"KXJ04212.1",6.31743426013282,8.04122972018583e-233,"Intercept"
"KXJ04213.1",9.75512446473602,0,"Intercept"
"KXJ04214.1",8.10135289972688,6.50347410234128e-237,"Intercept"
"KXJ04215.1",4.52697650578712,1.22630466107536e-64,"Intercept"
"KXJ04216.1",5.64829379022921,1.07325215224745e-106,"Intercept"
"KXJ04217.1",8.20887616372432,5.15945294260513e-141,"Intercept"
"KXJ04218.1",6.00838384572756,4.55444201827205e-38,"Intercept"
"KXJ04219.1",8.16724226291031,0,"Intercept"
"KXJ04220.1",3.53381356223689,1.15138150494777e-24,"Intercept"
"KXJ04221.1",5.39171339120238,6.3605415248278e-107,"Intercept"
"KXJ04222.1",3.90919174280956,1.50578154970558e-32,"Intercept"
"KXJ04223.1",7.24548249118561,0,"Intercept"
"KXJ04224.1",5.40700559751613,9.02445570456206e-142,"Intercept"
"KXJ04225.1",9.26312472455465,0,"Intercept"
"KXJ04226.1",8.64780185307387,0,"Intercept"
"KXJ04227.1",6.66705869292834,0,"Intercept"
"KXJ04228.1",8.38146186881038,0,"Intercept"
"KXJ04230.1",8.85767730727598,0,"Intercept"
"KXJ04231.1",8.39596956870065,0,"Intercept"
"KXJ04232.1",4.17651946482564,3.73913220285715e-66,"Intercept"
"KXJ04233.1",6.50519012463241,0,"Intercept"
"KXJ04235.1",5.56752141234876,1.23730704877181e-45,"Intercept"
"KXJ04237.1",6.07080648694086,7.27185348171144e-282,"Intercept"
"KXJ04239.1",2.07670927929956,2.52748821794429e-06,"Intercept"
"KXJ04240.1",6.40407530420491,4.31393227078778e-222,"Intercept"
"KXJ04243.1",7.64550632032113,0,"Intercept"
"KXJ04245.1",2.80218926892732,5.64178213287734e-12,"Intercept"
"KXJ04246.1",5.79489511613852,1.19273372515879e-63,"Intercept"
"KXJ04247.1",3.36236543695054,1.52041829779559e-34,"Intercept"
"KXJ04249.1",2.36564052977886,3.6371498945809e-06,"Intercept"
"KXJ04251.1",2.56037913607799,0.00116265667842569,"Intercept"
"KXJ04253.1",3.46371587647842,3.02841344158398e-39,"Intercept"
"KXJ04258.1",1.83825344870829,7.64190805050574e-06,"Intercept"
"KXJ04277.1",1.97743721284481,5.06624914190839e-06,"Intercept"
"KXJ04278.1",7.08685226806326,9.46064300949822e-69,"Intercept"
"KXJ04279.1",4.04243292746464,0.00462992482521114,"Intercept"
"KXJ04284.1",2.93577398363163,1.52190606868156e-08,"Intercept"
"KXJ04291.1",1.76290940767968,0.00666572914554748,"Intercept"
"KXJ04292.1",2.86423957773288,6.07317649302993e-19,"Intercept"
"KXJ04294.1",2.10545365463765,0.0028552695991332,"Intercept"
"KXJ04296.1",2.11943155182001,1.1831137067359e-05,"Intercept"
"KXJ04297.1",4.4532607597283,1.80753858334059e-83,"Intercept"
"KXJ04298.1",3.69842873192498,1.73341435619086e-38,"Intercept"
"KXJ04303.1",2.92542787517325,7.17418326991e-25,"Intercept"
"KXJ04307.1",6.20607770539071,1.89835292436601e-96,"Intercept"
"KXJ04315.1",6.4074628245556,8.59700114215204e-214,"Intercept"
"KXJ04318.1",4.79482537487166,8.51738480294014e-29,"Intercept"
"KXJ04319.1",3.49352391960184,1.29115063844677e-24,"Intercept"
"KXJ04324.1",3.13504319912993,1.19438706930981e-19,"Intercept"
"KXJ04328.1",8.67400331395038,1.34560733403413e-141,"Intercept"
"KXJ04331.1",5.62392467543549,2.42037845339095e-113,"Intercept"
"KXJ04336.1",3.02309690612534,3.37699137871571e-33,"Intercept"
"KXJ04340.1",7.83019754572705,1.32315378247262e-300,"Intercept"
"KXJ04345.1",-2.00565931709837,0.0482457202753956,"Intercept"
"KXJ04346.1",1.22346154228885,0.0145541046538401,"Intercept"
"KXJ04348.1",5.749580408975,4.12166156724011e-140,"Intercept"
"KXJ04349.1",3.34511797690276,0.0104240168146483,"Intercept"
"KXJ04350.1",5.26412310229238,2.60889652151953e-65,"Intercept"
"KXJ04356.1",3.35925700988047,4.12070945277295e-27,"Intercept"
"KXJ04357.1",6.22402020717295,5.95517661096745e-187,"Intercept"
"KXJ04359.1",2.59557638402953,3.78139353188261e-05,"Intercept"
"KXJ04371.1",3.98372285368048,1.89388812729545e-52,"Intercept"
"KXJ04378.1",2.17270816104946,0.00141229359800936,"Intercept"
"KXJ04380.1",3.69938043398579,1.99110651896308e-30,"Intercept"
"KXJ04382.1",4.67087104349898,9.95475803719835e-41,"Intercept"
"KXJ04389.1",6.32274663966394,4.23178187292412e-65,"Intercept"
"KXJ04392.1",3.17136197579125,2.21603718341822e-10,"Intercept"
"KXJ04397.1",4.85507015091802,8.63825226348295e-231,"Intercept"
"KXJ04398.1",2.30684846234269,2.10770605086676e-13,"Intercept"
"KXJ04399.1",5.59003959102546,0,"Intercept"
"KXJ04400.1",4.18527956375922,3.44152337030453e-13,"Intercept"
"KXJ04401.1",3.92596852172916,2.28274689452884e-05,"Intercept"
"KXJ04403.1",2.88255523399849,0.000181052208513047,"Intercept"
"KXJ04405.1",2.91329772873227,2.93333580692514e-25,"Intercept"
"KXJ04407.1",4.93299050964461,4.03549883705016e-91,"Intercept"
"KXJ04408.1",1.91566057729134,0.00166401686758086,"Intercept"
"KXJ04409.1",3.42450833056332,6.18993967651293e-13,"Intercept"
"KXJ04412.1",1.73600469292701,0.0018604599216127,"Intercept"
"KXJ04415.1",4.68350189170736,1.07691300166449e-64,"Intercept"
"KXJ04416.1",5.60636134592262,9.22115234958566e-55,"Intercept"
"KXJ04420.1",5.74378422632857,2.76434103322795e-12,"Intercept"
"KXJ04422.1",1.42463406440682,0.00214079750255574,"Intercept"
"KXJ04430.1",1.90521294145872,4.02547425195034e-06,"Intercept"
"KXJ04433.1",1.35502647993398,0.0481985089559036,"Intercept"
"KXJ04436.1",2.59666262566498,0.000626456795257952,"Intercept"
"KXJ04449.1",1.67689617649626,0.00268235191933831,"Intercept"
"KXJ04450.1",5.31107619286503,4.50460131447131e-66,"Intercept"
"KXJ04452.1",5.42040172767924,1.84709453462909e-164,"Intercept"
"KXJ04454.1",2.70358383851031,3.36359567542693e-10,"Intercept"
"KXJ04455.1",4.34598986528231,1.29354352284132e-97,"Intercept"
"KXJ04457.1",3.35010924990556,1.41704296602303e-23,"Intercept"
"KXJ04459.1",4.80939043576578,5.42950490034768e-96,"Intercept"
"KXJ04464.1",3.4988875987232,6.21327447620755e-31,"Intercept"
"KXJ04466.1",2.00069876962466,0.000150440193605299,"Intercept"
"KXJ04467.1",4.35540676657911,6.5098864030621e-41,"Intercept"
"KXJ04468.1",3.86712427456217,1.99224024642934e-56,"Intercept"
"KXJ04478.1",4.66524232610259,2.87204960060143e-31,"Intercept"
"KXJ04479.1",2.37810062365853,2.85295828090141e-06,"Intercept"
"KXJ04480.1",5.44781084875692,6.2104763019266e-42,"Intercept"
"KXJ04483.1",8.87488169653638,0,"Intercept"
"KXJ04486.1",3.6141968970962,3.26807335198818e-11,"Intercept"
