"","log2FoldChange","padj","Factor"
"KXJ04216.1",-2.13374937269767,3.39471630416233e-05,"Menthol_Menthol_vs_NoMenthol"
"KXJ04217.1",-1.96799144536526,0.00204200550890039,"Menthol_Menthol_vs_NoMenthol"
"KXJ04292.1",1.27451924816341,0.0490707217322278,"Menthol_Menthol_vs_NoMenthol"
"KXJ04328.1",-3.42767126641346,7.0014796520143e-09,"Menthol_Menthol_vs_NoMenthol"
"KXJ04356.1",1.54000979068509,0.00944461182351494,"Menthol_Menthol_vs_NoMenthol"
"KXJ04398.1",1.20236744208686,0.0476107678328451,"Menthol_Menthol_vs_NoMenthol"
"KXJ04557.1",1.54076966756347,0.00612276377967267,"Menthol_Menthol_vs_NoMenthol"
"KXJ04585.1",-0.976447786090864,0.0293470087871325,"Menthol_Menthol_vs_NoMenthol"
"KXJ04659.1",2.17472866380573,0.0125223214933207,"Menthol_Menthol_vs_NoMenthol"
"KXJ04740.1",-1.27999332835147,0.0181972771662724,"Menthol_Menthol_vs_NoMenthol"
"KXJ04879.1",-1.13607218846656,0.0155984955767706,"Menthol_Menthol_vs_NoMenthol"
"KXJ04981.1",1.96994718055453,0.0194288082397909,"Menthol_Menthol_vs_NoMenthol"
"KXJ04998.1",1.73293279064949,0.00397552788512951,"Menthol_Menthol_vs_NoMenthol"
"KXJ05014.1",-1.56434299878735,0.0413216334740904,"Menthol_Menthol_vs_NoMenthol"
"KXJ05049.1",4.6782201506363,0.041892765007245,"Menthol_Menthol_vs_NoMenthol"
"KXJ05067.1",3.42138883257938,3.21243372237243e-07,"Menthol_Menthol_vs_NoMenthol"
"KXJ05164.1",2.63481300442084,0.002917408765533,"Menthol_Menthol_vs_NoMenthol"
"KXJ05276.1",-0.759046271993262,0.0431879689332978,"Menthol_Menthol_vs_NoMenthol"
"KXJ05327.1",-0.713419153974133,0.00428619608166978,"Menthol_Menthol_vs_NoMenthol"
"KXJ05340.1",1.66634322051488,0.0414413444074852,"Menthol_Menthol_vs_NoMenthol"
"KXJ05384.1",1.80401059042693,0.0484375924597718,"Menthol_Menthol_vs_NoMenthol"
"KXJ05386.1",1.95532528485817,0.00481535222233002,"Menthol_Menthol_vs_NoMenthol"
"KXJ05389.1",-14.4771078946733,0.000130131143591809,"Menthol_Menthol_vs_NoMenthol"
"KXJ05577.1",-1.54452331283459,0.00474743048690629,"Menthol_Menthol_vs_NoMenthol"
