"","log2FoldChange","padj","Factor"
"KXJ04318.1",-3.25654858762328,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ04398.1",-2.35739786308333,0.0107854663659974,"VibrioVibrio.MentholMenthol"
"KXJ04659.1",-3.87557629747234,0.0090888851859153,"VibrioVibrio.MentholMenthol"
"KXJ05049.1",-8.4176926157127,0.0443630627794317,"VibrioVibrio.MentholMenthol"
"KXJ05389.1",16.2038601491396,0.0278833051943565,"VibrioVibrio.MentholMenthol"
"KXJ05763.1",-4.25529852398597,0.0343668305928186,"VibrioVibrio.MentholMenthol"
"KXJ05809.1",-20.9858598138148,0.000294611913933159,"VibrioVibrio.MentholMenthol"
"KXJ06586.1",-2.93204730429621,0.0348857842895704,"VibrioVibrio.MentholMenthol"
"KXJ07282.1",8.38172283085903,0.0370768956544769,"VibrioVibrio.MentholMenthol"
"KXJ07696.1",2.44991519292552,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ08034.1",-4.54818865542949,0.0063480406291758,"VibrioVibrio.MentholMenthol"
"KXJ08667.1",1.64103282460846,0.0288120620735154,"VibrioVibrio.MentholMenthol"
"KXJ08965.1",2.97857601721497,0.0090888851859153,"VibrioVibrio.MentholMenthol"
"KXJ09163.1",-3.243163710974,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ09362.1",0.742978691426575,0.0494201909016068,"VibrioVibrio.MentholMenthol"
"KXJ09676.1",1.16844673902104,0.00883047045370877,"VibrioVibrio.MentholMenthol"
"KXJ10258.1",-1.37288293515371,0.0443630627794317,"VibrioVibrio.MentholMenthol"
"KXJ10642.1",-8.35004904146393,1.1901209736375e-05,"VibrioVibrio.MentholMenthol"
"KXJ10817.1",2.3986999686083,0.0176484972018334,"VibrioVibrio.MentholMenthol"
"KXJ10983.1",1.22469817763997,0.0443630627794317,"VibrioVibrio.MentholMenthol"
"KXJ11277.1",4.01770527024316,0.000170578425786285,"VibrioVibrio.MentholMenthol"
"KXJ11728.1",-26.8011790259601,7.41086142604246e-12,"VibrioVibrio.MentholMenthol"
"KXJ12004.1",3.34831763247967,0.0104013866347958,"VibrioVibrio.MentholMenthol"
"KXJ12121.1",1.6951205224421,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ12961.1",1.97655472676427,0.0233606645866542,"VibrioVibrio.MentholMenthol"
"KXJ12990.1",-6.34925889813876,8.51885210876493e-06,"VibrioVibrio.MentholMenthol"
"KXJ13147.1",1.28534232226211,0.0429627108658356,"VibrioVibrio.MentholMenthol"
"KXJ13994.1",-2.90420999100577,0.0429627108658356,"VibrioVibrio.MentholMenthol"
"KXJ14097.1",-2.34947086070105,0.0343668305928186,"VibrioVibrio.MentholMenthol"
"KXJ15083.1",22.4998252885678,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ15396.1",-3.77095161371138,0.0343668305928186,"VibrioVibrio.MentholMenthol"
"KXJ15445.1",-2.67789979278803,0.0343668305928186,"VibrioVibrio.MentholMenthol"
"KXJ15722.1",1.34910412086318,0.0090888851859153,"VibrioVibrio.MentholMenthol"
"KXJ16767.1",1.52622515694085,0.0343668305928186,"VibrioVibrio.MentholMenthol"
"KXJ16947.1",-1.73239998459399,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ17339.1",-3.77129350344589,0.0063480406291758,"VibrioVibrio.MentholMenthol"
"KXJ17834.1",-2.4353629071749,0.0343668305928186,"VibrioVibrio.MentholMenthol"
"KXJ18086.1",-0.872624176786003,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ18436.1",-2.48996021897611,0.0494201909016068,"VibrioVibrio.MentholMenthol"
"KXJ18479.1",2.24951838618956,0.0104013866347958,"VibrioVibrio.MentholMenthol"
"KXJ18570.1",-3.11868410924485,0.00342587482847971,"VibrioVibrio.MentholMenthol"
"KXJ19224.1",17.8801194539489,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ20287.1",-5.12692695311138,0.00883047045370877,"VibrioVibrio.MentholMenthol"
"KXJ20386.1",1.24009932990937,0.0244663715062042,"VibrioVibrio.MentholMenthol"
"KXJ20808.1",1.8867547338817,0.0233606645866542,"VibrioVibrio.MentholMenthol"
"KXJ20827.1",-1.24085886967888,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ21733.1",-1.28241310764134,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ21914.1",-3.81762353088947,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ22225.1",-3.27499983768491,0.0343668305928186,"VibrioVibrio.MentholMenthol"
"KXJ22241.1",-4.48816670308874,0.0129250637274387,"VibrioVibrio.MentholMenthol"
"KXJ22242.1",-2.37762764940608,0.0370768956544769,"VibrioVibrio.MentholMenthol"
"KXJ22826.1",1.70612754873697,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ23428.1",4.18082068652163,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ23635.1",-0.742669899184531,0.048873772174663,"VibrioVibrio.MentholMenthol"
"KXJ23732.1",4.25867223127941,0.01400446868106,"VibrioVibrio.MentholMenthol"
"KXJ24516.1",-3.04326324739742,0.0359764647016882,"VibrioVibrio.MentholMenthol"
"KXJ24613.1",0.477972628851949,0.0343668305928186,"VibrioVibrio.MentholMenthol"
