"","log2FoldChange","padj","Factor"
"KXJ04198.1",-0.79220832115284,0.0252252860914892,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04200.1",0.672515796636459,0.0338829071202935,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04205.1",-2.1140274239343,0.000893714819122692,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04211.1",1.06607401229085,0.0118562049787041,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04221.1",-0.937460098602379,0.0466252178272257,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04233.1",0.603664598759036,0.00929812308368076,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04243.1",-0.706233031509533,0.0150627738156734,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04253.1",0.973875934919406,0.0342671700182272,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04303.1",1.02626758966086,0.0344307644937592,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04307.1",2.24692524015829,5.45834393118494e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04315.1",1.15668375575959,0.00103433218605776,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04318.1",1.67395155811379,0.0325415445433494,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04340.1",-0.821450352414626,0.0367555581095839,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04345.1",5.11386316838979,0.000250705799353443,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04348.1",1.4121974451384,0.00023419941911093,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04356.1",2.22301931566172,4.53435310918872e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04380.1",1.50160795384149,0.00636281803659346,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04398.1",1.77855913704466,0.000121254813464857,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04405.1",1.21340673101142,0.00814187810275487,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04415.1",-1.33675899315246,0.0114096874261206,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04416.1",1.37460801496108,0.0370086137694808,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04452.1",1.063856780353,0.00166129824674707,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04478.1",1.55789764330024,0.0322341701877123,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04487.1",3.75175425842046,1.86541312546606e-07,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04500.1",-1.23180812067847,0.0154407614103788,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04518.1",3.74495064101963,1.88704618429471e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04557.1",1.25315191956304,0.0140289247857567,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04583.1",2.35615682997495,0.0439180960695721,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04585.1",-1.46969492184036,8.91860351981038e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04597.1",1.57348705799016,0.00215483146795139,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04601.1",1.02782369976211,8.56342741218947e-09,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04614.1",0.91141857449708,0.0489493311934773,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04618.1",-1.86131454065555,0.0253755672424714,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04622.1",2.72605153421693,0.00020069736443732,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04646.1",1.31010042582159,0.00109329850397103,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04658.1",1.0620681389193,0.0142519777727194,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04659.1",2.72718241447714,0.000198138222245791,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04665.1",2.19101056950268,0.0305083864488823,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04668.1",-5.79731308551531,0.00237124364184149,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04682.1",1.37229885644527,0.0172078834337522,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04704.1",2.83320137596551,0.0167093516646952,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04799.1",1.91447887741547,0.00705014585751284,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04801.1",-2.1683225585703,0.0184107858543362,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04816.1",1.46827669155103,9.16458213726421e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04845.1",1.65353047420984,2.98748143210996e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04880.1",0.926079186927231,0.0414879416900101,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04906.1",-3.13273221815779,2.91642857521125e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04921.1",-1.97100390501214,0.00716089784755211,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04927.1",1.31589780166852,0.00032926606373734,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04936.1",0.654825877643992,0.0386529349348423,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04950.1",-0.751446750751905,0.000121339379039022,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04952.1",1.1208702999997,0.0494682677345367,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04955.1",1.54461624358885,0.00978180716049109,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04961.1",-0.89555015974822,0.00891580196035145,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04972.1",0.919584691423354,0.0376291051413055,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04974.1",-2.09448774809208,0.0363024858459621,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04981.1",1.73592634436344,0.0189630769688219,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04994.1",1.18151459401334,0.00294008737578517,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04998.1",1.45945398684255,0.00749166137254488,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05001.1",-1.59687213674852,0.0467354654026921,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05009.1",2.43540018979598,0.0230185265435525,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05031.1",-1.15152093829828,0.0269803862918917,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05036.1",-1.20549107303536,0.0155516436397559,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05046.1",1.03131180415791,0.02452615448811,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05052.1",1.19541559083664,0.00359545700831567,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05055.1",-0.777720736940877,0.0038242313241174,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05068.1",-1.08974939688185,0.0189630769688219,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05071.1",1.40361304425451,0.000882164757765364,"Vibrio_Vibrio_vs_NoVibrio"
