"","id","title","authors"
"1","ko05418","PKCzeta decreases eNOS protein stability via inhibitory phosphorylation of ERK5.","Nigro P, Abe J, Woo CH, Satoh K, McClain C, O'Dell MR, Lee H, Lim JH, Li JD, Heo KS, Fujiwara K, Berk BC"
"2","ko05418","alphavbeta3 Integrins Mediate Flow-Induced NF-kappaB Activation, Proinflammatory Gene Expression, and Early Atherogenic Inflammation.","Chen J, Green J, Yurdagul A Jr, Albert P, McInnis MC, Orr AW"
"3","ko05418","Flow-dependent cellular mechanotransduction in atherosclerosis.","Conway DE, Schwartz MA"
"4","ko05418","Localized tensional forces on PECAM-1 elicit a global mechanotransduction response via the integrin-RhoA pathway.","Collins C, Guilluy C, Welch C, O'Brien ET, Hahn K, Superfine R, Burridge K, Tzima E"
"5","ko05418","Current concepts on the role of nitric oxide in portal hypertension.","Hu LS, George J, Wang JH"
"6","ko05418","Mechanotransduction of shear in the endothelium: basic studies and clinical implications.","Johnson BD, Mather KJ, Wallace JP"
"7","ko05418","Molecular biology of atherosclerosis.","Hopkins PN"
"8","ko05418","Bone morphogenic protein 4 produced in endothelial cells by oscillatory shear stress induces monocyte adhesion by stimulating reactive oxygen species production from a nox1-based NADPH oxidase.","Sorescu GP, Song H, Tressel SL, Hwang J, Dikalov S, Smith DA, Boyd NL, Platt MO, Lassegue B, Griendling KK, Jo H"
"9","ko05418","Endothelium microenvironment sensing leading to nitric oxide mediated vasodilation: a review of nervous and biomechanical signals.","Quillon A, Fromy B, Debret R"
"10","ko05418","The effects of acute and chronic exercise on the vasculature.","Whyte JJ, Laughlin MH"
"11","ko05418","KLF2-induced actin shear fibers control both alignment to flow and JNK signaling in vascular endothelium.","Boon RA, Leyen TA, Fontijn RD, Fledderus JO, Baggen JM, Volger OL, van Nieuw Amerongen GP, Horrevoets AJ"
"12","ko05418","Mechanosensitive properties in the endothelium and their roles in the regulation of endothelial function.","Liu HB, Zhang J, Xin SY, Liu C, Wang CY, Zhao D, Zhang ZR"
"13","ko05418","Shear stress-initiated signaling and its regulation of endothelial function.","Zhou J, Li YS, Chien S"
"14","ko05418","Role of biomechanical forces in the natural history of coronary atherosclerosis.","Brown AJ, Teng Z, Evans PC, Gillard JH, Samady H, Bennett MR"
"15","ko05418","Mechanoresponsive networks controlling vascular inflammation.","Bryan MT, Duckles H, Feng S, Hsiao ST, Kim HR, Serbanovic-Canic J, Evans PC"
"16","ko05418","Key transcriptional regulators of the vasoprotective effects of shear stress.","Boon RA, Horrevoets AJ"
"17","ko05418","Redox signaling in hypertension.","Paravicini TM, Touyz RM"
"18","ko05418","Endothelial Mechanosignaling: Does One Sensor Fit All?","Givens C, Tzima E"
"19","ko05418","Role of shear stress and stretch in vascular mechanobiology.","Lu D, Kassab GS"
