"","log2FoldChange","padj"
"KXJ04198.1",-0.79220832115284,0.0252252860914892
"KXJ04200.1",0.672515796636459,0.0338829071202935
"KXJ04205.1",-2.1140274239343,0.000893714819122692
"KXJ04211.1",1.06607401229085,0.0118562049787041
"KXJ04221.1",-0.937460098602379,0.0466252178272257
"KXJ04233.1",0.603664598759036,0.00929812308368076
"KXJ04243.1",-0.706233031509533,0.0150627738156734
"KXJ04253.1",0.973875934919406,0.0342671700182272
"KXJ04303.1",1.02626758966086,0.0344307644937592
"KXJ04307.1",2.24692524015829,5.45834393118494e-06
"KXJ04315.1",1.15668375575959,0.00103433218605776
"KXJ04318.1",1.67395155811379,0.0325415445433494
"KXJ04340.1",-0.821450352414626,0.0367555581095839
"KXJ04345.1",5.11386316838979,0.000250705799353443
"KXJ04348.1",1.4121974451384,0.00023419941911093
"KXJ04356.1",2.22301931566172,4.53435310918872e-06
"KXJ04380.1",1.50160795384149,0.00636281803659346
"KXJ04398.1",1.77855913704466,0.000121254813464857
"KXJ04405.1",1.21340673101142,0.00814187810275487
"KXJ04415.1",-1.33675899315246,0.0114096874261206
"KXJ04416.1",1.37460801496108,0.0370086137694808
"KXJ04452.1",1.063856780353,0.00166129824674707
"KXJ04478.1",1.55789764330024,0.0322341701877123
"KXJ04487.1",3.75175425842046,1.86541312546606e-07
"KXJ04500.1",-1.23180812067847,0.0154407614103788
"KXJ04518.1",3.74495064101963,1.88704618429471e-06
"KXJ04557.1",1.25315191956304,0.0140289247857567
"KXJ04583.1",2.35615682997495,0.0439180960695721
"KXJ04585.1",-1.46969492184036,8.91860351981038e-05
"KXJ04597.1",1.57348705799016,0.00215483146795139
"KXJ04601.1",1.02782369976211,8.56342741218947e-09
"KXJ04614.1",0.91141857449708,0.0489493311934773
"KXJ04618.1",-1.86131454065555,0.0253755672424714
"KXJ04622.1",2.72605153421693,0.00020069736443732
"KXJ04646.1",1.31010042582159,0.00109329850397103
"KXJ04658.1",1.0620681389193,0.0142519777727194
"KXJ04659.1",2.72718241447714,0.000198138222245791
"KXJ04665.1",2.19101056950268,0.0305083864488823
"KXJ04668.1",-5.79731308551531,0.00237124364184149
"KXJ04682.1",1.37229885644527,0.0172078834337522
"KXJ04704.1",2.83320137596551,0.0167093516646952
"KXJ04799.1",1.91447887741547,0.00705014585751284
"KXJ04801.1",-2.1683225585703,0.0184107858543362
"KXJ04816.1",1.46827669155103,9.16458213726421e-05
"KXJ04845.1",1.65353047420984,2.98748143210996e-05
"KXJ04879.1",-1.06873677267047,0.0088493703568069
"KXJ04880.1",0.926079186927231,0.0414879416900101
"KXJ04906.1",-3.13273221815779,2.91642857521125e-06
"KXJ04921.1",-1.97100390501214,0.00716089784755211
"KXJ04927.1",1.31589780166852,0.00032926606373734
"KXJ04936.1",0.654825877643992,0.0386529349348423
"KXJ04950.1",-0.751446750751905,0.000121339379039022
"KXJ04952.1",1.1208702999997,0.0494682677345367
"KXJ04955.1",1.54461624358885,0.00978180716049109
"KXJ04961.1",-0.89555015974822,0.00891580196035145
"KXJ04972.1",0.919584691423354,0.0376291051413055
"KXJ04974.1",-2.09448774809208,0.0363024858459621
"KXJ04981.1",1.73592634436344,0.0189630769688219
"KXJ04994.1",1.18151459401334,0.00294008737578517
"KXJ04998.1",1.45945398684255,0.00749166137254488
"KXJ05001.1",-1.59687213674852,0.0467354654026921
"KXJ05009.1",2.43540018979598,0.0230185265435525
"KXJ05031.1",-1.15152093829828,0.0269803862918917
"KXJ05036.1",-1.20549107303536,0.0155516436397559
"KXJ05046.1",1.03131180415791,0.02452615448811
"KXJ05052.1",1.19541559083664,0.00359545700831567
"KXJ05055.1",-0.777720736940877,0.0038242313241174
"KXJ05068.1",-1.08974939688185,0.0189630769688219
"KXJ05071.1",1.40361304425451,0.000882164757765364
"KXJ05114.1",-1.719483656012,0.00204155054835346
"KXJ05127.1",-2.03976994832726,0.0413279529976882
"KXJ05131.1",-1.58607288519915,0.0231565775444659
"KXJ05132.1",-2.95508755289433,0.000144687881772707
"KXJ05162.1",0.994738856523409,0.0160176813682171
"KXJ05164.1",1.93987052313323,0.0184800841573432
"KXJ05182.1",2.28868136461007,0.0038951204419287
"KXJ05193.1",3.09241861811205,0.00388641332604153
"KXJ05198.1",1.9083786639487,0.0116336099792603
"KXJ05215.1",2.69204379195332,0.0353204979858769
"KXJ05236.1",-0.962318145284903,0.0408067421905983
"KXJ05242.1",-1.40332482348197,4.48854665650841e-05
"KXJ05244.1",2.00857712812474,0.00134978898017278
"KXJ05246.1",1.77217604676321,0.0325015587928727
"KXJ05257.1",1.33535919207143,0.0134684353535022
"KXJ05272.1",-0.956812110652529,0.0036160848229969
"KXJ05300.1",0.939944164657475,0.0290593085876061
"KXJ05302.1",5.96769609432588,0.00906858263287819
"KXJ05305.1",1.45445941186399,0.000384214178602083
"KXJ05316.1",-1.44243818567753,0.0231498714667118
"KXJ05336.1",-3.32679817883178,0.000651369245851077
"KXJ05337.1",-1.21049138346719,0.0102357582613941
"KXJ05340.1",1.48471202198691,0.0355067137171069
"KXJ05341.1",1.0626459511257,0.00731326475510491
"KXJ05345.1",2.9778760480583,0.00617813906974431
"KXJ05359.1",4.04497445733852,0.0307508758230453
"KXJ05360.1",1.14184281934334,0.0487026129653874
"KXJ05369.1",1.00141389574282,0.0165028644752905
"KXJ05375.1",0.876707147669411,0.00721365647509681
"KXJ05383.1",1.06425634084869,0.00179059749245752
"KXJ05386.1",2.09005468029631,0.000520753992401827
"KXJ05401.1",2.17334043995164,0.0477399354947662
"KXJ05405.1",2.32689706062406,3.69992018324129e-10
"KXJ05411.1",1.68685540564208,0.00604812996016663
"KXJ05413.1",1.79630190101927,0.0331958369696149
"KXJ05422.1",2.43140980433234,0.00846062441428885
"KXJ05440.1",1.07769147911867,0.0238186915191297
"KXJ05452.1",1.60031290770485,0.00394873625120154
"KXJ05475.1",2.40438487362133,0.0313973873847998
"KXJ05481.1",1.8891998804287,0.0131565765426828
"KXJ05497.1",2.33544004724482,9.7365102164654e-08
"KXJ05508.1",5.10885289365547,0.0429236763481658
"KXJ05511.1",0.754337881521458,0.00135840619411919
"KXJ05538.1",1.68532543791687,0.00662622877216786
"KXJ05552.1",1.6392525287011,0.0434955398477492
"KXJ05554.1",2.81060261591832,2.37654059989421e-10
"KXJ05558.1",-1.06038757769763,0.00138186117608604
"KXJ05559.1",2.37524636428464,9.63974607658177e-06
"KXJ05562.1",5.16428790368072,0.0367555581095839
"KXJ05563.1",1.83313366924133,0.0288496857687593
"KXJ05589.1",1.05327301831107,0.00467835785909147
"KXJ05597.1",0.746002936899074,0.0170671827060673
"KXJ05606.1",1.39891232793319,0.0109434371084216
"KXJ05608.1",1.48157718559234,0.00638502429826866
"KXJ05622.1",0.890840504247282,0.0367833761029357
"KXJ05625.1",0.492237143847574,0.0499175301691227
