"","log2FoldChange","padj","Factor"
"KXJ04205.1",-2.1140274239343,0.000893714819122692,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04307.1",2.24692524015829,5.45834393118494e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04315.1",1.15668375575959,0.00103433218605776,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04345.1",5.11386316838979,0.000250705799353443,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04348.1",1.4121974451384,0.00023419941911093,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04356.1",2.22301931566172,4.53435310918872e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04380.1",1.50160795384149,0.00636281803659346,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04398.1",1.77855913704466,0.000121254813464857,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04405.1",1.21340673101142,0.00814187810275487,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04452.1",1.063856780353,0.00166129824674707,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04487.1",3.75175425842046,1.86541312546606e-07,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04518.1",3.74495064101963,1.88704618429471e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04585.1",-1.46969492184036,8.91860351981038e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04597.1",1.57348705799016,0.00215483146795139,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04601.1",1.02782369976211,8.56342741218947e-09,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04622.1",2.72605153421693,0.00020069736443732,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04646.1",1.31010042582159,0.00109329850397103,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04659.1",2.72718241447714,0.000198138222245791,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04668.1",-5.79731308551531,0.00237124364184149,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04799.1",1.91447887741547,0.00705014585751284,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04816.1",1.46827669155103,9.16458213726421e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04845.1",1.65353047420984,2.98748143210996e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04906.1",-3.13273221815779,2.91642857521125e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04921.1",-1.97100390501214,0.00716089784755211,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04927.1",1.31589780166852,0.00032926606373734,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04955.1",1.54461624358885,0.00978180716049109,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04994.1",1.18151459401334,0.00294008737578517,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ04998.1",1.45945398684255,0.00749166137254488,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05052.1",1.19541559083664,0.00359545700831567,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05071.1",1.40361304425451,0.000882164757765364,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05114.1",-1.719483656012,0.00204155054835346,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05132.1",-2.95508755289433,0.000144687881772707,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05182.1",2.28868136461007,0.0038951204419287,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05193.1",3.09241861811205,0.00388641332604153,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05242.1",-1.40332482348197,4.48854665650841e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05244.1",2.00857712812474,0.00134978898017278,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05302.1",5.96769609432588,0.00906858263287819,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05305.1",1.45445941186399,0.000384214178602083,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05336.1",-3.32679817883178,0.000651369245851077,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05341.1",1.0626459511257,0.00731326475510491,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05345.1",2.9778760480583,0.00617813906974431,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05383.1",1.06425634084869,0.00179059749245752,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05386.1",2.09005468029631,0.000520753992401827,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05405.1",2.32689706062406,3.69992018324129e-10,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05411.1",1.68685540564208,0.00604812996016663,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05422.1",2.43140980433234,0.00846062441428885,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05452.1",1.60031290770485,0.00394873625120154,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05497.1",2.33544004724482,9.7365102164654e-08,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05538.1",1.68532543791687,0.00662622877216786,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05554.1",2.81060261591832,2.37654059989421e-10,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05558.1",-1.06038757769763,0.00138186117608604,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05559.1",2.37524636428464,9.63974607658177e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05589.1",1.05327301831107,0.00467835785909147,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05608.1",1.48157718559234,0.00638502429826866,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05629.1",2.57291841984363,0.00144160603993674,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05659.1",2.73014740706317,0.00800303680184005,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05660.1",1.73270683509571,3.51004825231499e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05669.1",1.33478439882406,0.000875917284933251,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05700.1",-2.00010389120363,0.00714119949466602,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05748.1",1.96499075373544,0.00108569958709857,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05757.1",-1.91061848377432,0.000974038304014847,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05763.1",4.25412513883483,8.84802992906813e-05,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05771.1",3.07164430599145,4.19788849845412e-07,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05809.1",21.4789595887348,3.35624987165656e-11,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05834.1",2.17816159734919,0.00191235448163662,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05835.1",-1.30983797531671,0.00112010869896172,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05877.1",1.84175785652711,0.00745533321202915,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05944.1",-2.48624957206944,2.44887669192078e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05958.1",2.69562369247943,6.57046884276967e-06,"Vibrio_Vibrio_vs_NoVibrio"
"KXJ05973.1",3.06305383652049,1.48347475562982e-05,"Vibrio_Vibrio_vs_NoVibrio"
