"id","ko"
"K10268","K10268"
"K10273","K10273"
"K19521","K19521"
"K09174","K09174"
"K09173","K09173"
"K20909","K20909"
"K00069","K00069"
"K19548","K19548"
"K22607","K22607"
"K06240","K06240"
"K05636","K05636"
"K06243","K06243"
"K19636","K19636"
"K07151","K07151"
"K15377","K15377"
"K05095","K05095"
"K04362","K04362"
"K05093","K05093"
"K02599","K02599"
"K20994","K20994"
"K19903","K19903"
"K19909","K19909"
"K19907","K19907"
"K19906","K19906"
"K03260","K03260"
"K01437","K01437"
"K18458","K18458"
"K08292","K08292"
"K04981","K04981"
"K04982","K04982"
"K14692","K14692"
"K08857","K08857"
"K20873","K20873"
"K20880","K20880"
"K18263","K18263"
"K15176","K15176"
"K17266","K17266"
"K08375","K08375"
"K08378","K08378"
"K04255","K04255"
"K04205","K04205"
"K19511","K19511"
"K17341","K17341"
"K06766","K06766"
"K06756","K06756"
"K05129","K05129"
"K15290","K15290"
"K19912","K19912"
"K10393","K10393"
"K09500","K09500"
"K18152","K18152"
"K06254","K06254"
"K08665","K08665"
"K01321","K01321"
"K09634","K09634"
"K06819","K06819"
"K03902","K03902"
"K03899","K03899"
"K04437","K04437"
"K05123","K05123"
"K05122","K05122"
"K01315","K01315"
"K09867","K09867"
"K09863","K09863"
"K09865","K09865"
"K03068","K03068"
"K20051","K20051"
"K04550","K04550"
"K22615","K22615"
"K20865","K20865"
"K12800","K12800"
"K22666","K22666"
"K20864","K20864"
"K11577","K11577"
"K14007","K14007"
"K14592","K14592"
"K01301","K01301"
"K18752","K18752"
"K18727","K18727"
"K00546","K00546"
"K22437","K22437"
"K11540","K11540"
"K01465","K01465"
"K22656","K22656"
"K15166","K15166"
"K09228","K09228"
"K15789","K15789"
"K09048","K09048"
"K20795","K20795"
"K20796","K20796"
"K06753","K06753"
"K22654","K22654"
"K06255","K06255"
"K20349","K20349"
"K20350","K20350"
"K20347","K20347"
"K17253","K17253"
"K10479","K10479"
"K10481","K10481"
"K10523","K10523"
"K00771","K00771"
"K12646","K12646"
"K12647","K12647"
"K12649","K12649"
"K11592","K11592"
"K03174","K03174"
"K03172","K03172"
"K09849","K09849"
"K09848","K09848"
"K03173","K03173"
"K03175","K03175"
"K18622","K18622"
"K12489","K12489"
"K04456","K04456"
"K03910","K03910"
"K07497","K07497"
"K01389","K01389"
"K10593","K10593"
"K10642","K10642"
"K06774","K06774"
"K06772","K06772"
"K22523","K22523"
"K01025","K01025"
"K11822","K11822"
"K06185","K06185"
"K06184","K06184"
"K06158","K06158"
"K06768","K06768"
"K05695","K05695"
"K16353","K16353"
"K06777","K06777"
"K18172","K18172"
"K05643","K05643"
"K05641","K05641"
"K05642","K05642"
"K05644","K05644"
"K05645","K05645"
"K06174","K06174"
"K20876","K20876"
"K20875","K20875"
"K02183","K02183"
"K01493","K01493"
"K10838","K10838"
"K14354","K14354"
"K14355","K14355"
"K08747","K08747"
"K14356","K14356"
"K06778","K06778"
"K18032","K18032"
"K06545","K06545"
"K13912","K13912"
"K09624","K09624"
"K05048","K05048"
"K05334","K05334"
"K04978","K04978"
"K04976","K04976"
"K04977","K04977"
"K04980","K04980"
"K22291","K22291"
"K16931","K16931"
"K16726","K16726"
"K21440","K21440"
"K10380","K10380"
"K20053","K20053"
"K20052","K20052"
"K10592","K10592"
"K10589","K10589"
"K04678","K04678"
"K10758","K10758"
"K06825","K06825"
"K08443","K08443"
"K08446","K08446"
"K14297","K14297"
"K04210","K04210"
"K14072","K14072"
"K00933","K00933"
"K08654","K08654"
