"id","title","authors"
"ko05205","Lumican, a small leucine-rich proteoglycan.","Nikitovic D, Katonis P, Tsatsakis A, Karamanos NK, Tzanakakis GN"
"ko05205","Proteoglycans in cancer biology, tumour microenvironment and angiogenesis.","Iozzo RV, Sanderson RD"
"ko05205","Glypican-3-mediated oncogenesis involves the Insulin-like growth factor-signaling pathway.","Cheng W, Tseng CJ, Lin TT, Cheng I, Pan HW, Hsu HC, Lee YM"
"ko05205","The role of glypicans in Hedgehog signaling.","Filmus J, Capurro M"
"ko05205","The role of glypican-3 in regulating Wnt in hepatocellular carcinomas.","Gao W, Ho M"
"ko05205","Glypican-3: a marker and a therapeutic target in hepatocellular carcinoma.","Filmus J, Capurro M"
"ko05205","Glypicans.","Filmus J, Capurro M, Rast J"
"ko05205","Synergistic control of cell adhesion by integrins and syndecans.","Morgan MR, Humphries MJ, Bass MD"
"ko05205","Syndecans in tumor cell adhesion and signaling.","Beauvais DM, Rapraeger AC"
"ko05205","ADAM12/syndecan-4 signaling promotes beta 1 integrin-dependent cell spreading through protein kinase Calpha and RhoA.","Thodeti CK, Albrechtsen R, Grauslund M, Asmar M, Larsson C, Takada Y, Mercurio AM, Couchman JR, Wewer UM"
"ko05205","Syndesmos, a protein that interacts with the cytoplasmic domain of syndecan-4, mediates cell spreading and actin cytoskeletal organization.","Baciu PC, Saoncella S, Lee SH, Denhez F, Leuthardt D, Goetinck PF"
"ko05205","Fibroblast growth factor-2.","Nugent MA, Iozzo RV"
"ko05205","The role of syndecan-2 in regulation of actin-cytoskeletal organization of Lewis lung carcinoma-derived metastatic clones.","Munesue S, Kusano Y, Oguri K, Itano N, Yoshitomi Y, Nakanishi H, Yamashina I, Okayama M"
"ko05205","The HGF/MET pathway as target for the treatment of multiple myeloma and B-cell lymphomas.","Mahtouk K, Tjin EP, Spaargaren M, Pals ST"
"ko05205","Syndecan-1 regulates alphavbeta3 and alphavbeta5 integrin activation during angiogenesis and is blocked by synstatin, a novel peptide inhibitor.","Beauvais DM, Ell BJ, McWhorter AR, Rapraeger AC"
"ko05205","Heparanase stimulation of protease expression implicates it as a master regulator of the aggressive tumor phenotype in myeloma.","Purushothaman A, Chen L, Yang Y, Sanderson RD"
"ko05205","Heparanase: busy at the cell surface.","Fux L, Ilan N, Sanderson RD, Vlodavsky I"
"ko05205","Cell surface proteoglycan syndecan-1 mediates hepatocyte growth factor binding and promotes Met signaling in multiple myeloma.","Derksen PW, Keehnen RM, Evers LM, van Oers MH, Spaargaren M, Pals ST"
"ko05205","Molecular functions of syndecan-1 in disease.","Teng YH, Aquino RS, Park PW"
"ko05205","Signaling by the matrix proteoglycan decorin controls inflammation and cancer through PDCD4 and MicroRNA-21.","Merline R, Moreth K, Beckmann J, Nastase MV, Zeng-Brouwers J, Tralhao JG, Lemarchand P, Pfeilschifter J, Schaefer RM, Iozzo RV, Schaefer L"
"ko05205","More than matrix: the multifaceted role of decorin in cancer.","Sofeu Feugaing DD, Gotte M, Viola M"
"ko05205","Tumor microenvironment: Modulation by decorin and related molecules harboring leucine-rich tandem motifs.","Goldoni S, Iozzo RV"
"ko05205","Decorin antagonizes Met receptor activity and down-regulates {beta}-catenin and Myc levels.","Buraschi S, Pal N, Tyler-Rubinstein N, Owens RT, Neill T, Iozzo RV"
"ko05205","Decorin evokes protracted internalization and degradation of the epidermal growth factor receptor via caveolar endocytosis.","Zhu JX, Goldoni S, Bix G, Owens RT, McQuillan DJ, Reed CC, Iozzo RV"
"ko05205","Decorin is a novel antagonistic ligand of the Met receptor.","Goldoni S, Humphries A, Nystrom A, Sattar S, Owens RT, McQuillan DJ, Ireton K, Iozzo RV"
"ko05205","Decorin antagonizes the angiogenic network: concurrent inhibition of Met, hypoxia inducible factor 1alpha, vascular endothelial growth factor A, and induction of thrombospondin-1 and TIMP3.","Neill T, Painter H, Buraschi S, Owens RT, Lisanti MP, Schaefer L, Iozzo RV"
"ko05205","Decorin: a guardian from the matrix.","Neill T, Schaefer L, Iozzo RV"
"ko05205","Interaction between the adhesion receptor, CD44, and the oncogene product, p185HER2, promotes human ovarian tumor cell activation.","Bourguignon LY, Zhu H, Chu A, Iida N, Zhang L, Hung MC"
"ko05205","Signaling properties of hyaluronan receptors.","Turley EA, Noble PW, Bourguignon LY"
"ko05205","Hyaluronan-CD44 interaction with IQGAP1 promotes Cdc42 and ERK signaling, leading to actin binding, Elk-1/estrogen receptor transcriptional activation, and ovarian cancer progression.","Bourguignon LY, Gilad E, Rothman K, Peyrollier K"
"ko05205","Hyaluronan-mediated CD44 interaction with RhoGEF and Rho kinase promotes Grb2-associated binder-1 phosphorylation and phosphatidylinositol 3-kinase signaling leading to cytokine (macrophage-colony stimulating factor) production and breast tumor progression.","Bourguignon LY, Singleton PA, Zhu H, Diedrich F"
"ko05205","IQGAP1 as signal integrator: Ca2+, calmodulin, Cdc42 and the cytoskeleton.","Briggs MW, Sacks DB"
