"","id","class","path"
"1","ko05418","Human Diseases; Cardiovascular diseases","Fluid shear stress and atherosclerosis"
"2","map05418","Human Diseases; Cardiovascular diseases","Fluid shear stress and atherosclerosis"
"3","ko05214","Human Diseases; Cancers: Specific types","Glioma"
"4","map05214","Human Diseases; Cancers: Specific types","Glioma"
"5","ko05200","Human Diseases; Cancers: Overview","Pathways in cancer"
"6","map05200","Human Diseases; Cancers: Overview","Pathways in cancer"
"7","ko05170","Human Diseases; Infectious diseases: Viral","Human immunodeficiency virus 1 infection"
"8","map05170","Human Diseases; Infectious diseases: Viral","Human immunodeficiency virus 1 infection"
"9","ko05167","Human Diseases; Infectious diseases: Viral","Kaposi sarcoma-associated herpesvirus infection"
"10","map05167","Human Diseases; Infectious diseases: Viral","Kaposi sarcoma-associated herpesvirus infection"
"11","ko05163","Human Diseases; Infectious diseases: Viral","Human cytomegalovirus infection"
"12","map05163","Human Diseases; Infectious diseases: Viral","Human cytomegalovirus infection"
"13","ko05152","Human Diseases; Infectious diseases: Bacterial","Tuberculosis"
"14","map05152","Human Diseases; Infectious diseases: Bacterial","Tuberculosis"
"15","ko05133","Human Diseases; Infectious diseases: Bacterial","Pertussis"
"16","map05133","Human Diseases; Infectious diseases: Bacterial","Pertussis"
"17","ko05034","Human Diseases; Substance dependence","Alcoholism"
"18","map05034","Human Diseases; Substance dependence","Alcoholism"
"19","ko05031","Human Diseases; Substance dependence","Amphetamine addiction"
"20","map05031","Human Diseases; Substance dependence","Amphetamine addiction"
"21","ko05010","Human Diseases; Neurodegenerative diseases","Alzheimer disease"
"22","map05010","Human Diseases; Neurodegenerative diseases","Alzheimer disease"
"23","ko04971","Organismal Systems; Digestive system","Gastric acid secretion"
"24","map04971","Organismal Systems; Digestive system","Gastric acid secretion"
"25","ko04970","Organismal Systems; Digestive system","Salivary secretion"
"26","map04970","Organismal Systems; Digestive system","Salivary secretion"
"27","ko04925","Organismal Systems; Endocrine system","Aldosterone synthesis and secretion"
"28","map04925","Organismal Systems; Endocrine system","Aldosterone synthesis and secretion"
"29","ko04924","Organismal Systems; Endocrine system","Renin secretion"
"30","map04924","Organismal Systems; Endocrine system","Renin secretion"
"31","ko04922","Organismal Systems; Endocrine system","Glucagon signaling pathway"
"32","map04922","Organismal Systems; Endocrine system","Glucagon signaling pathway"
"33","ko04921","Organismal Systems; Endocrine system","Oxytocin signaling pathway"
"34","map04921","Organismal Systems; Endocrine system","Oxytocin signaling pathway"
"35","ko04916","Organismal Systems; Endocrine system","Melanogenesis"
"36","map04916","Organismal Systems; Endocrine system","Melanogenesis"
"37","ko04915","Organismal Systems; Endocrine system","Estrogen signaling pathway"
"38","map04915","Organismal Systems; Endocrine system","Estrogen signaling pathway"
"39","ko04912","Organismal Systems; Endocrine system","GnRH signaling pathway"
"40","map04912","Organismal Systems; Endocrine system","GnRH signaling pathway"
"41","ko04910","Organismal Systems; Endocrine system","Insulin signaling pathway"
"42","map04910","Organismal Systems; Endocrine system","Insulin signaling pathway"
"43","ko04750","Organismal Systems; Sensory system","Inflammatory mediator regulation of TRP channels"
"44","map04750","Organismal Systems; Sensory system","Inflammatory mediator regulation of TRP channels"
"45","ko04745","Organismal Systems; Sensory system","Phototransduction - fly"
"46","map04745","Organismal Systems; Sensory system","Phototransduction - fly"
"47","ko04744","Organismal Systems; Sensory system","Phototransduction"
"48","map04744","Organismal Systems; Sensory system","Phototransduction"
"49","ko04740","Organismal Systems; Sensory system","Olfactory transduction"
"50","map04740","Organismal Systems; Sensory system","Olfactory transduction"
"51","ko04728","Organismal Systems; Nervous system","Dopaminergic synapse"
