"","id","ko"
"1","ko04621","K08727"
"2","ko04621","K08846"
"3","ko04621","K07210"
"4","ko04621","K04467"
"5","ko04621","K07209"
"6","ko04621","K02581"
"7","ko04621","K04734"
"8","ko04621","K02580"
"9","ko04621","K04735"
"10","ko04621","K04519"
"11","ko04621","K05482"
"12","ko04621","K05405"
"13","ko04621","K03156"
"14","ko04621","K10030"
"15","ko04621","K05505"
"16","ko04621","K14624"
"17","ko04621","K12499"
"18","ko04621","K13916"
"19","ko04621","K10165"
"20","ko04621","K04427"
"21","ko04621","K04403"
"22","ko04621","K04404"
"23","ko04621","K12793"
"24","ko04621","K04371"
"25","ko04621","K04440"
"26","ko04621","K04441"
"27","ko04621","K04448"
"28","ko04621","K17890"
"29","ko04621","K08339"
"30","ko04621","K08336"
"31","ko04621","K08341"
"32","ko04621","K12795"
"33","ko04621","K20894"
"34","ko04621","K10630"
"35","ko04621","K11974"
"36","ko04621","K04725"
"37","ko04621","K12797"
"38","ko04621","K12792"
"39","ko04621","K12796"
"40","ko04621","K16060"
"41","ko04621","K03173"
"42","ko04621","K09849"
"43","ko04621","K03175"
"44","ko04621","K12794"
"45","ko04621","K11859"
"46","ko04621","K12648"
"47","ko04621","K03174"
"48","ko04621","K05410"
"49","ko04621","K07211"
"50","ko04621","K12650"
"51","ko04621","K05411"
"52","ko04621","K09447"
"53","ko04621","K05414"
"54","ko04621","K05415"
"55","ko04621","K12653"
"56","ko04621","K08645"
"57","ko04621","K11030"
"58","ko04621","K20909"
"59","ko04621","K12798"
"60","ko04621","K12799"
"61","ko04621","K01370"
"62","ko04621","K02161"
"63","ko04621","K04570"
"64","ko04621","K01363"
"65","ko04621","K12800"
"66","ko04621","K03443"
"67","ko04621","K05220"
"68","ko04621","K04977"
"69","ko04621","K04982"
"70","ko04621","K04971"
"71","ko04621","K04612"
"72","ko04621","K04622"
"73","ko04621","K05858"
"74","ko04621","K04958"
"75","ko04621","K04959"
"76","ko04621","K04960"
"77","ko04621","K05862"
"78","ko04621","K15040"
"79","ko04621","K15041"
"80","ko04621","K20858"
"81","ko04621","K14216"
"82","ko04621","K01165"
"83","ko04621","K17820"
"84","ko04621","K21356"
"85","ko04621","K06030"
"86","ko04621","K02861"
"87","ko04621","K08847"
"88","ko04621","K17065"
"89","ko04621","K03462"
"90","ko04621","K21421"
"91","ko04621","K08009"
"92","ko04621","K20910"
"93","ko04621","K03671"
"94","ko04621","K20876"
"95","ko04621","K11864"
"96","ko04621","K04079"
"97","ko04621","K12801"
"98","ko04621","K12802"
"99","ko04621","K20911"
"100","ko04621","K12803"
"101","ko04621","K12804"
"102","ko04621","K04398"
"103","ko04621","K02373"
"104","ko04621","K04741"
"105","ko04621","K12806"
"106","ko04621","K20863"
"107","ko04621","K20864"
"108","ko04621","K08598"
"109","ko04621","K20865"
"110","ko04621","K02406"
"111","ko04621","K12807"
"112","ko04621","K12805"
"113","ko04621","K06068"
"114","ko04621","K20897"
"115","ko04621","K20898"
"116","ko04621","K12966"
"117","ko04621","K20914"
"118","ko04621","K20915"
"119","ko04621","K20916"
"120","ko04621","K04513"
"121","ko04621","K20899"
"122","ko04621","K04395"
