"","Menthol","Vibrio"
"Aip02","Menthol","NoVibrio"
"Aip05","Menthol","NoVibrio"
"Aip06","NoMenthol","Vibrio"
"Aip12","NoMenthol","Vibrio"
"Aip13","NoMenthol","Vibrio"
"Aip14","Menthol","Vibrio"
"Aip15","NoMenthol","NoVibrio"
"Aip17","Menthol","Vibrio"
"Aip18","NoMenthol","NoVibrio"
"Aip19","NoMenthol","Vibrio"
"Aip20","NoMenthol","Vibrio"
"Aip21","Menthol","NoVibrio"
"Aip23","Menthol","Vibrio"
"Aip24","Menthol","NoVibrio"
"Aip25","Menthol","NoVibrio"
"Aip26","NoMenthol","Vibrio"
"Aip28","NoMenthol","NoVibrio"
"Aip29","Menthol","Vibrio"
"Aip30","NoMenthol","NoVibrio"
"Aip32","Menthol","NoVibrio"
"Aip33","NoMenthol","NoVibrio"
"Aip34","NoMenthol","NoVibrio"
"Aip35","Menthol","Vibrio"
"Aip36","Menthol","Vibrio"
