"id","ko","Iteration_query.def","log2FoldChange","padj","Factor","qCov","n","desc","category","class","path","direction"
"ko00030","K00033","KXJ12943.1",-1.36266122633914,6.46961858984303e-11,"Vibrio_Vibrio_vs_NoVibrio",0.887483731549508,7,"6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism"," Carbohydrate metabolism","Pentose phosphate pathway","Down"
"ko00051","K19029","KXJ12195.1",-1.22992688715996,0.00714421874953487,"Vibrio_Vibrio_vs_NoVibrio",0.765365399567665,5,"6-phosphofructo-2-kinase / fructose-2,6-biphosphatase 2 [EC:2.7.1.105 3.1.3.46]","Metabolism"," Carbohydrate metabolism","Fructose and mannose metabolism","Down"
"ko00072","K01641","KXJ16686.1",1.49525569247926,0.00224205645197572,"Vibrio_Vibrio_vs_NoVibrio",0.883034199637512,8,"hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]","Metabolism"," Lipid metabolism","Synthesis and degradation of ketone bodies","Up"
"ko00140","K07424","KXJ13064.1",2.31611914304817,0.00191437224515784,"Vibrio_Vibrio_vs_NoVibrio",0.919854172024533,6,"cytochrome P450 family 3 subfamily A [EC:1.14.14.1]","Metabolism"," Lipid metabolism","Steroid hormone biosynthesis","Up"
"ko00190","K03954","KXJ14818.1",-1.1694093147858,3.33054776694382e-05,"Vibrio_Vibrio_vs_NoVibrio",0.584544106745738,4,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10","Metabolism"," Energy metabolism","Oxidative phosphorylation","Down"
"ko00230","K01952","KXJ09416.1",1.6080671047129,0.000116280521665196,"Vibrio_Vibrio_vs_NoVibrio",0.965686703902526,11,"phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]","Metabolism"," Nucleotide metabolism","Purine metabolism","Up"
"ko00240","K01493","KXJ07696.1",-2.43262131894102,9.59596805278821e-06,"Vibrio_Vibrio_vs_NoVibrio",0.539325842696629,3,"dCMP deaminase [EC:3.5.4.12]","Metabolism"," Nucleotide metabolism","Pyrimidine metabolism","Down"
"ko00250","K01437","KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio",0.938835185640297,6,"aspartoacylase [EC:3.5.1.15]","Metabolism"," Amino acid metabolism","Alanine, aspartate and glutamate metabolism","Down"
"ko00260","K00273","KXJ08743.1",-1.03256966380488,0.00011337296551049,"Vibrio_Vibrio_vs_NoVibrio",0.923529787387627,6,"D-amino-acid oxidase [EC:1.4.3.3]","Metabolism"," Amino acid metabolism","Glycine, serine and threonine metabolism","Down"
"ko00260","K00552","KXJ13349.1",1.50507614261069,0.00250935935039277,"Vibrio_Vibrio_vs_NoVibrio",0.981257473546913,4,"glycine N-methyltransferase [EC:2.1.1.20]","Metabolism"," Amino acid metabolism","Glycine, serine and threonine metabolism","Up"
"ko00260","K15789","KXJ05958.1",2.69562369247943,6.57046884276967e-06,"Vibrio_Vibrio_vs_NoVibrio",0.756032171581769,3,"threonine 3-dehydrogenase [EC:1.1.1.103]","Metabolism"," Amino acid metabolism","Glycine, serine and threonine metabolism","Up"
"ko00280","K01641","KXJ16686.1",1.49525569247926,0.00224205645197572,"Vibrio_Vibrio_vs_NoVibrio",0.883034199637512,8,"hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]","Metabolism"," Amino acid metabolism","Valine, leucine and isoleucine degradation","Up"
"ko00300","K01586","KXJ11867.1",-1.6849354046792,0.00325344007820932,"Vibrio_Vibrio_vs_NoVibrio",0.854443033963869,8,"diaminopimelate decarboxylase [EC:4.1.1.20]","Metabolism"," Amino acid metabolism","Lysine biosynthesis","Down"
"ko00310","K20795","KXJ12253.1",-1.16746104338192,0.00974381560712006,"Vibrio_Vibrio_vs_NoVibrio",0.616519664400853,3,"histone-lysine N-methyltransferase PRDM6 [EC:2.1.1.43]","Metabolism"," Amino acid metabolism","Lysine degradation","Down"
"ko00311","K00273","KXJ08743.1",-1.03256966380488,0.00011337296551049,"Vibrio_Vibrio_vs_NoVibrio",0.923529787387627,6,"D-amino-acid oxidase [EC:1.4.3.3]","Metabolism"," Biosynthesis of other secondary metabolites","Penicillin and cephalosporin biosynthesis","Down"
"ko00330","K00933","KXJ13496.1",8.90950223086677,4.42982561424089e-05,"Vibrio_Vibrio_vs_NoVibrio",0.935298360424209,29,"creatine kinase [EC:2.7.3.2]","Metabolism"," Amino acid metabolism","Arginine and proline metabolism","Up"
"ko00330","K00286","KXJ14396.1",-1.45292783210894,0.000103655996881887,"Vibrio_Vibrio_vs_NoVibrio",0.931925540160029,6,"pyrroline-5-carboxylate reductase [EC:1.5.1.2]","Metabolism"," Amino acid metabolism","Arginine and proline metabolism","Down"
"ko00330","K17839","KXJ14398.1",2.09227625502719,1.06641694371374e-07,"Vibrio_Vibrio_vs_NoVibrio",0.807918134717894,10,"polyamine oxidase [EC:1.5.3.17 1.5.3.-]","Metabolism"," Amino acid metabolism","Arginine and proline metabolism","Up"
"ko00330","K00273","KXJ08743.1",-1.03256966380488,0.00011337296551049,"Vibrio_Vibrio_vs_NoVibrio",0.923529787387627,6,"D-amino-acid oxidase [EC:1.4.3.3]","Metabolism"," Amino acid metabolism","Arginine and proline metabolism","Down"
"ko00340","K01437","KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio",0.938835185640297,6,"aspartoacylase [EC:3.5.1.15]","Metabolism"," Amino acid metabolism","Histidine metabolism","Down"
"ko00340","K00546","KXJ05757.1",-1.91061848377432,0.000974038304014847,"Vibrio_Vibrio_vs_NoVibrio",0.8767264370082,8,"histamine N-methyltransferase [EC:2.1.1.8]","Metabolism"," Amino acid metabolism","Histidine metabolism","Down"
"ko00380","K01667","KXJ12434.1",-1.15884753729753,0.00592072794230124,"Vibrio_Vibrio_vs_NoVibrio",0.962978952612203,6,"tryptophanase [EC:4.1.99.1]","Metabolism"," Amino acid metabolism","Tryptophan metabolism","Down"
"ko00410","K17839","KXJ14398.1",2.09227625502719,1.06641694371374e-07,"Vibrio_Vibrio_vs_NoVibrio",0.807918134717894,10,"polyamine oxidase [EC:1.5.3.17 1.5.3.-]","Metabolism"," Metabolism of other amino acids","beta-Alanine metabolism","Up"
"ko00472","K00273","KXJ08743.1",-1.03256966380488,0.00011337296551049,"Vibrio_Vibrio_vs_NoVibrio",0.923529787387627,6,"D-amino-acid oxidase [EC:1.4.3.3]","Metabolism"," Metabolism of other amino acids","D-Arginine and D-ornithine metabolism","Down"
"ko00480","K00033","KXJ12943.1",-1.36266122633914,6.46961858984303e-11,"Vibrio_Vibrio_vs_NoVibrio",0.887483731549508,7,"6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism"," Metabolism of other amino acids","Glutathione metabolism","Down"
"ko00480","K00799","KXJ09335.1",-1.39717609302818,4.61898161480199e-07,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Metabolism of other amino acids","Glutathione metabolism","Down"
"ko00480","K05361","KXJ12235.1",-1.42022705767054,3.69045382749588e-09,"Vibrio_Vibrio_vs_NoVibrio",0.712861133399985,7,"phospholipid-hydroperoxide glutathione peroxidase [EC:1.11.1.12]","Metabolism"," Metabolism of other amino acids","Glutathione metabolism","Down"
"ko00480","K00799","KXJ09334.1",-1.35440548666252,0.000851572781574294,"Vibrio_Vibrio_vs_NoVibrio",0.909952606635071,1,"glutathione S-transferase [EC:2.5.1.18]","Metabolism"," Metabolism of other amino acids","Glutathione metabolism","Down"
"ko00480","K04097","KXJ13353.1",-1.60254508077283,3.24306764176168e-06,"Vibrio_Vibrio_vs_NoVibrio",0.923187721962866,5,"prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]","Metabolism"," Metabolism of other amino acids","Glutathione metabolism","Down"
"ko00512","K00710","KXJ10588.1",-1.12098814389469,9.66854195248207e-06,"Vibrio_Vibrio_vs_NoVibrio",0.855492370302649,9,"polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]","Metabolism"," Glycan biosynthesis and metabolism","Mucin type O-glycan biosynthesis","Down"
"ko00520","K00972","KXJ13545.1",1.79542678662167,1.07223560573259e-06,"Vibrio_Vibrio_vs_NoVibrio",0.903689685130313,9,"UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]","Metabolism"," Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism","Up"
"ko00531","K07964","KXJ15010.1",-1.03853308064027,0.00427466190676046,"Vibrio_Vibrio_vs_NoVibrio",0.718403131939547,10,"heparanase [EC:3.2.1.166]","Metabolism"," Glycan biosynthesis and metabolism","Glycosaminoglycan degradation","Down"
"ko00532","K13499","KXJ14822.1",-1.35782114657356,0.00782747365803724,"Vibrio_Vibrio_vs_NoVibrio",0.790443501739236,5,"chondroitin sulfate synthase [EC:2.4.1.175 2.4.1.226]","Metabolism"," Glycan biosynthesis and metabolism","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Down"
