"","Iteration_query-def","Iteration_query-len","Hit_accession","Hit_len","Hsp_evalue","Hsp_identity","Hsp_gaps","Hsp_align-len"
"1","KXJ29663.1","1744","Q00422","454","1.80866e-59","92","0","116"
"2","KXJ29663.1","1744","Q06546","454","2.8254e-59","99","6","157"
"3","KXJ29663.1","1744","Q04688","464","6.38783e-48","88","12","156"
"4","KXJ29663.1","1744","P29773","110","5.47101e-46","69","0","102"
"5","KXJ29663.1","1744","P10157","479","2.19397e-42","69","0","102"
"6","KXJ29663.1","1744","P18756","268","5.70455e-42","66","0","103"
"7","KXJ29663.1","1744","P13474","441","5.60414e-41","66","0","102"
"8","KXJ29663.1","1744","P14921","441","7.40864e-41","66","0","102"
"9","KXJ29663.1","1744","P27577","440","7.72004e-41","66","0","102"
"10","KXJ29663.1","1744","P41156","441","7.94398e-41","66","0","102"
