"Transcript","Gene"
"KXJ30081.1","KXJ30081.1"
"KXJ30188.1","KXJ30188.1"
"KXJ30137.1","KXJ30137.1"
"KXJ30097.1","KXJ30097.1"
"KXJ30119.1","KXJ30119.1"
"KXJ30230.1","KXJ30230.1"
"KXJ30076.1","KXJ30076.1"
"KXJ30134.1","KXJ30134.1"
"KXJ30082.1","KXJ30082.1"
"KXJ30070.1","KXJ30070.1"
"KXJ30094.1","KXJ30094.1"
"KXJ30118.1","KXJ30118.1"
"KXJ30150.1","KXJ30150.1"
"KXJ30109.1","KXJ30109.1"
"KXJ30215.1","KXJ30215.1"
"KXJ30072.1","KXJ30072.1"
"KXJ30175.1","KXJ30175.1"
"KXJ30190.1","KXJ30190.1"
"KXJ30067.1","KXJ30067.1"
"KXJ30183.1","KXJ30183.1"
"KXJ30115.1","KXJ30115.1"
"KXJ30087.1","KXJ30087.1"
"KXJ30136.1","KXJ30136.1"
"KXJ30096.1","KXJ30096.1"
"KXJ30227.1","KXJ30227.1"
"KXJ30146.1","KXJ30146.1"
"KXJ30110.1","KXJ30110.1"
"KXJ30143.1","KXJ30143.1"
"KXJ30164.1","KXJ30164.1"
"KXJ30068.1","KXJ30068.1"
"KXJ30139.1","KXJ30139.1"
"KXJ30200.1","KXJ30200.1"
"KXJ30079.1","KXJ30079.1"
"KXJ30128.1","KXJ30128.1"
"KXJ30195.1","KXJ30195.1"
"KXJ30168.1","KXJ30168.1"
"KXJ30182.1","KXJ30182.1"
"KXJ30103.1","KXJ30103.1"
"KXJ30144.1","KXJ30144.1"
"KXJ30141.1","KXJ30141.1"
"KXJ30106.1","KXJ30106.1"
"KXJ30207.1","KXJ30207.1"
"KXJ30196.1","KXJ30196.1"
"KXJ30206.1","KXJ30206.1"
"KXJ30156.1","KXJ30156.1"
"KXJ30140.1","KXJ30140.1"
"KXJ30148.1","KXJ30148.1"
"KXJ30155.1","KXJ30155.1"
"KXJ30152.1","KXJ30152.1"
"KXJ30107.1","KXJ30107.1"
"KXJ30192.1","KXJ30192.1"
"KXJ30205.1","KXJ30205.1"
"KXJ30180.1","KXJ30180.1"
"KXJ30071.1","KXJ30071.1"
"KXJ30226.1","KXJ30226.1"
"KXJ30131.1","KXJ30131.1"
"KXJ30112.1","KXJ30112.1"
"KXJ30116.1","KXJ30116.1"
"KXJ30204.1","KXJ30204.1"
"KXJ30125.1","KXJ30125.1"
"KXJ30219.1","KXJ30219.1"
"KXJ30173.1","KXJ30173.1"
"KXJ30111.1","KXJ30111.1"
"KXJ30130.1","KXJ30130.1"
"KXJ30199.1","KXJ30199.1"
"KXJ30091.1","KXJ30091.1"
"KXJ30159.1","KXJ30159.1"
"KXJ30185.1","KXJ30185.1"
"KXJ30151.1","KXJ30151.1"
"KXJ30104.1","KXJ30104.1"
"KXJ30108.1","KXJ30108.1"
"KXJ30100.1","KXJ30100.1"
"KXJ30187.1","KXJ30187.1"
"KXJ30084.1","KXJ30084.1"
"KXJ30132.1","KXJ30132.1"
"KXJ30198.1","KXJ30198.1"
"KXJ30088.1","KXJ30088.1"
"KXJ30089.1","KXJ30089.1"
"KXJ30093.1","KXJ30093.1"
"KXJ30186.1","KXJ30186.1"
"KXJ30165.1","KXJ30165.1"
"KXJ30208.1","KXJ30208.1"
"KXJ30099.1","KXJ30099.1"
"KXJ30149.1","KXJ30149.1"
"KXJ30224.1","KXJ30224.1"
"KXJ30210.1","KXJ30210.1"
"KXJ30222.1","KXJ30222.1"
"KXJ30160.1","KXJ30160.1"
"KXJ30153.1","KXJ30153.1"
"KXJ30170.1","KXJ30170.1"
"KXJ30184.1","KXJ30184.1"
"KXJ30074.1","KXJ30074.1"
"KXJ30085.1","KXJ30085.1"
"KXJ30120.1","KXJ30120.1"
"KXJ30145.1","KXJ30145.1"
"KXJ30090.1","KXJ30090.1"
"KXJ30171.1","KXJ30171.1"
"KXJ30127.1","KXJ30127.1"
"KXJ30121.1","KXJ30121.1"
"KXJ30147.1","KXJ30147.1"
"KXJ30225.1","KXJ30225.1"
"KXJ30157.1","KXJ30157.1"
"KXJ30123.1","KXJ30123.1"
"KXJ30167.1","KXJ30167.1"
"KXJ30083.1","KXJ30083.1"
"KXJ30129.1","KXJ30129.1"
"KXJ30218.1","KXJ30218.1"
"KXJ30231.1","KXJ30231.1"
"KXJ30124.1","KXJ30124.1"
"KXJ30217.1","KXJ30217.1"
"KXJ30214.1","KXJ30214.1"
"KXJ30066.1","KXJ30066.1"
"KXJ30228.1","KXJ30228.1"
"KXJ30223.1","KXJ30223.1"
"KXJ30193.1","KXJ30193.1"
"KXJ30181.1","KXJ30181.1"
"KXJ30080.1","KXJ30080.1"
"KXJ30201.1","KXJ30201.1"
"KXJ30220.1","KXJ30220.1"
"KXJ30178.1","KXJ30178.1"
"KXJ30102.1","KXJ30102.1"
"KXJ30229.1","KXJ30229.1"
"KXJ30174.1","KXJ30174.1"
"KXJ30135.1","KXJ30135.1"
"KXJ30101.1","KXJ30101.1"
"KXJ30162.1","KXJ30162.1"
"KXJ30176.1","KXJ30176.1"
"KXJ30073.1","KXJ30073.1"
"KXJ30211.1","KXJ30211.1"
"KXJ30154.1","KXJ30154.1"
"KXJ30161.1","KXJ30161.1"
"KXJ30077.1","KXJ30077.1"
"KXJ30213.1","KXJ30213.1"
"KXJ30179.1","KXJ30179.1"
"KXJ30197.1","KXJ30197.1"
"KXJ30189.1","KXJ30189.1"
"KXJ30194.1","KXJ30194.1"
"KXJ30172.1","KXJ30172.1"
"KXJ30105.1","KXJ30105.1"
"KXJ30078.1","KXJ30078.1"
"KXJ30163.1","KXJ30163.1"
"KXJ30095.1","KXJ30095.1"
"KXJ30075.1","KXJ30075.1"
"KXJ30138.1","KXJ30138.1"
"KXJ30122.1","KXJ30122.1"
"KXJ30191.1","KXJ30191.1"
"KXJ30113.1","KXJ30113.1"
"KXJ30114.1","KXJ30114.1"
"KXJ30069.1","KXJ30069.1"
"KXJ30117.1","KXJ30117.1"
"KXJ30202.1","KXJ30202.1"
"KXJ30133.1","KXJ30133.1"
"KXJ30158.1","KXJ30158.1"
"KXJ30212.1","KXJ30212.1"
"KXJ30166.1","KXJ30166.1"
"KXJ30169.1","KXJ30169.1"
"KXJ30142.1","KXJ30142.1"
"KXJ30177.1","KXJ30177.1"
"KXJ30092.1","KXJ30092.1"
"KXJ30203.1","KXJ30203.1"
"KXJ30209.1","KXJ30209.1"
