"","Iteration_query-def","Iteration_query-len","Hit_accession","Hit_len","Hsp_evalue","Hsp_identity","Hsp_gaps","Hsp_align-len"
"1","KXJ29331.1","1782","Q9CZV8","436","1.49131e-16","86","17","327"
"2","KXJ29331.1","1782","Q96IG2","436","3.62986e-16","85","17","327"
"3","KXJ29331.1","1782","A1A5X2","489","3.03291e-15","94","50","421"
"4","KXJ29331.1","1782","A6H779","423","4.06928e-15","93","52","373"
"5","KXJ29331.1","1782","Q8BH16","423","4.33313e-15","91","21","329"
"6","KXJ29331.1","1782","Q9QZH7","276","4.49979e-15","71","12","244"
"7","KXJ29331.1","1782","Q5BJ29","491","1.24898e-14","103","63","431"
"8","KXJ29331.1","1782","Q9UJT9","491","1.77909e-14","103","63","431"
"9","KXJ29331.1","1782","Q9UKC9","423","5.66688e-14","89","21","329"
"10","KXJ29331.1","1782","Q5R3Z8","423","5.82094e-14","89","21","329"
