"","Iteration_query-def","Iteration_query-len","Hit_accession","Hit_len","Hsp_evalue","Hsp_identity","Hsp_gaps","Hsp_align-len"
"1","KXJ16905.1","2509","A7S641","552","0","463","0","535"
"2","KXJ16905.1","2509","A0M8U1","554","0","388","18","558"
"3","KXJ16905.1","2509","Q2IBD0","577","0","392","39","580"
"4","KXJ16905.1","2509","Q99M96","577","0","391","39","580"
"5","KXJ16905.1","2509","Q108U3","585","0","377","39","551"
"6","KXJ16905.1","2509","Q07E08","584","0","376","38","550"
"7","KXJ16905.1","2509","Q9NRC1","585","0","376","39","551"
"8","KXJ16905.1","2509","Q00PJ0","585","0","376","39","551"
"9","KXJ16905.1","2509","Q09YN2","585","0","376","39","551"
"10","KXJ16905.1","2509","Q2QL86","585","0","376","39","551"
