"uniprot","kegg","ko","desc","Iteration_query-def","Iteration_query-len","Hit_len","Hsp_evalue","Hsp_identity","Hsp_gaps","Hsp_align-len"
"Q78KK3","mmu:18400","K08214","MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18","KXJ04200.1","1846","406","4.42164e-56","94","2","249"
"Q78KK3","mmu:18400","K08214","MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18","KXJ04200.1","1846","406","4.42164e-56","54","5","109"
"Q6AY78","rno:309131","K08214","MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18","KXJ04200.1","1846","404","2.28483e-53","91","4","249"
"Q6AY78","rno:309131","K08214","MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18","KXJ04200.1","1846","404","2.28483e-53","53","5","109"
"Q96BI1","hsa:5002","K08214","MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18","KXJ04200.1","1846","424","2.74121e-52","87","0","273"
"Q96BI1","hsa:5002","K08214","MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 18","KXJ04200.1","1846","424","2.74121e-52","53","5","114"
"P33733","ag:CAA46706","K08151","MFS transporter, DHA1 family, tetracycline resistance protein","KXJ04200.1","1846","394","5.6589e-10","41","10","179"
"P33733","ag:CAA46706","K08151","MFS transporter, DHA1 family, tetracycline resistance protein","KXJ04200.1","1846","394","5.6589e-10","26","3","80"
"P39843","bsu:BSU26590","K08153","MFS transporter, DHA1 family, multidrug resistance protein","KXJ04200.1","1846","400","1.1904e-07","31","2","97"
"P39843","bsu:BSU26590","K08153","MFS transporter, DHA1 family, multidrug resistance protein","KXJ04200.1","1846","400","1.1904e-07","58","19","248"
"Q8VCC1","mmu:15446","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","269","1.2285e-30","74","29","193"
"Q3T0C2","bta:512259","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","266","2.37139e-30","73","19","188"
"P15428","hsa:3248","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","266","1.20671e-28","69","19","188"
"O08699","rno:79242","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","266","8.10063e-25","73","29","198"
"P39640","bsu:BSU37720","K19548","dihydroanticapsin dehydrogenase [EC:1.1.1.385]","KXJ04205.1","2262","253","2.8188e-18","62","26","167"
"A7AZH2","ag:EDN78833","K22607","3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]","KXJ04205.1","2262","276","6.34021e-14","45","13","120"
"P70297","mmu:20844","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","548","1.37343e-88","151","17","286"
"Q92783","hsa:8027","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","540","1.76115e-87","150","17","286"
"O88811","mmu:56324","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","523","5.40651e-85","140","25","286"
"O75886","hsa:10254","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","525","8.06672e-85","146","25","286"
"Q5XHY7","rno:311030","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","523","2.56422e-84","145","25","286"
"O93436","gga:424317","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","468","4.52511e-82","146","26","286"
"A1DFN5","nfi:NFIA_081360","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","603","4.22018e-34","93","33","295"
"Q5BBL4","ani:AN2066.2","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","581","1.18782e-33","90","29","293"
"A2QW93","ang:ANI_1_590094","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","611","1.84679e-33","91","30","294"
"A1CEK6","act:ACLA_089980","K04705","signal transducing adaptor molecule","KXJ04211.1","3105","599","3.61643e-33","92","29","293"
"P48199","rno:25419","K16143","C-reactive protein","KXJ04221.1","1365","230","9.68344e-09","35","9","92"
"P02742","ocu:100009091","K16143","C-reactive protein","KXJ04221.1","1365","225","3.0405e-07","29","2","74"
"O19062","ssc:396842","K16143","C-reactive protein","KXJ04221.1","1365","222","4.3826e-07","32","10","81"
"Q28G05","xtr:496706","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","249","5.5337e-29","52","0","68"
"Q8AVQ6","xla:379092","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","240","7.0666e-29","52","0","68"
"Q9D198","mmu:68592","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","242","4.0329e-28","52","0","67"
"O95926","hsa:25949","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","243","4.49031e-28","52","0","67"
"Q6DGP2","dre:445043","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","238","1.87301e-27","50","0","66"
"Q6DV01","gja:107110818","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","249","2.99084e-27","49","0","67"
"Q9V5Q4","dme:Dmel_CG12343","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","226","1.26252e-25","46","0","66"
"Q28XK6","dpo:Dpse_GA11568","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","226","8.35416e-25","45","0","66"
"Q7RZK5","ncr:NCU00361","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","339","1.64586e-13","34","2","68"
"Q5BC69","ani:AN1861.2","K12868","pre-mRNA-splicing factor SYF2","KXJ04233.1","248","297","2.68545e-13","33","1","67"
"P11413","hsa:2539","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","KXJ04243.1","479","515","3.38754e-13","38","0","54"
"O55044","cge:100689469","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","KXJ04243.1","479","515","1.07572e-12","35","0","54"
"Q00612","mmu:14381","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","KXJ04243.1","479","515","1.10724e-12","35","0","54"
"P05370","rno:24377","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","KXJ04243.1","479","515","1.20744e-12","35","0","54"
"Q27464","cel:CELE_B0035.5","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","KXJ04243.1","479","522","3.32735e-12","31","0","54"
"P97324","mmu:14380","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","KXJ04243.1","479","513","4.70943e-11","33","0","57"
"Q86WG5","hsa:81846","K18061","myotubularin-related protein 5/13","KXJ04253.1","633","1849","1.05396e-37","78","8","191"
"Q6NTN5","xla:414452","K18061","myotubularin-related protein 5/13","KXJ04253.1","633","1873","3.22962e-37","66","0","119"
"O95248","hsa:6305","K18061","myotubularin-related protein 5/13","KXJ04253.1","633","1868","4.08815e-34","61","0","129"
"Q6ZPE2","mmu:77980","K18061","myotubularin-related protein 5/13","KXJ04253.1","633","1867","5.56465e-34","60","0","129"
"Q6IQ26","hsa:23258","K20164","DENN domain-containing protein 5","KXJ04253.1","633","1287","2.08579e-16","37","5","104"
"Q6PAL8","mmu:19347","K20164","DENN domain-containing protein 5","KXJ04253.1","633","1287","2.85729e-16","36","5","104"
"G3V7Q0","rno:308942","K20164","DENN domain-containing protein 5","KXJ04253.1","633","1287","2.9123e-16","36","5","104"
"Q6P3S1","hsa:163486","K20160","DENN domain-containing protein 1","KXJ04253.1","633","775","8.33164e-16","43","9","139"
"Q3U1T9","mmu:329260","K20160","DENN domain-containing protein 1","KXJ04253.1","633","766","2.15519e-15","41","9","139"
"Q8TEH3","hsa:57706","K20160","DENN domain-containing protein 1","KXJ04253.1","633","1009","2.85284e-15","45","9","150"
NA,NA,NA,NA,"KXJ04303.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04307.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04315.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04318.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04340.1",NA,NA,NA,NA,NA,NA
"Q61789","mmu:16774","K06240","laminin, alpha 3/5","KXJ04345.1","316","3330","4.21028e-20","44","1","94"
