"uniprot" "kegg" "ko" "desc" "Iteration_query-def" "Iteration_query-len" "Hit_len" "Hsp_evalue" "Hsp_identity" "Hsp_gaps" "Hsp_align-len"
"Q9C040" "hsa:23321" "K11997" "tripartite motif-containing protein 2/3" "KXJ30076.1" "2661" "744" "1.59193e-08" "66" "28" "247"
"A4IF63" "bta:538617" "K11997" "tripartite motif-containing protein 2/3" "KXJ30076.1" "2661" "744" "1.82535e-08" "66" "28" "247"
"Q9ESN6" "mmu:80890" "K11997" "tripartite motif-containing protein 2/3" "KXJ30076.1" "2661" "744" "6.04224e-08" "65" "28" "247"
"D3ZQG6" "rno:361970" "K11997" "tripartite motif-containing protein 2/3" "KXJ30076.1" "2661" "744" "6.63799e-08" "65" "28" "247"
"D2GXS7" "aml:100468144" "K11997" "tripartite motif-containing protein 2/3" "KXJ30076.1" "2661" "744" "9.10739e-08" "62" "27" "232"
"Q1PRL4" "gga:428445" "K12035" "tripartite motif-containing protein 71 [EC:2.3.2.27]" "KXJ30076.1" "2661" "876" "2.0465e-07" "71" "40" "279"
"Q9U489" "cel:CELE_C12C8.3" "K12035" "tripartite motif-containing protein 71 [EC:2.3.2.27]" "KXJ30076.1" "2661" "1147" "2.43829e-07" "33" "4" "111"
"Q9U489" "cel:CELE_C12C8.3" "K12035" "tripartite motif-containing protein 71 [EC:2.3.2.27]" "KXJ30076.1" "2661" "1147" "5.80052e-07" "65" "26" "237"
"Q2Q1W2" "hsa:131405" "K12035" "tripartite motif-containing protein 71 [EC:2.3.2.27]" "KXJ30076.1" "2661" "868" "2.63407e-07" "39" "5" "121"
"Q2Q1W2" "hsa:131405" "K12035" "tripartite motif-containing protein 71 [EC:2.3.2.27]" "KXJ30076.1" "2661" "868" "2.1802e-06" "71" "44" "281"
"A2AVA0" "mmu:64817" "K17495" "CUB and sushi domain-containing protein" "KXJ30190.1" "2578" "3567" "2.46765e-17" "92" "36" "327"
"A2AVA0" "mmu:64817" "K17495" "CUB and sushi domain-containing protein" "KXJ30190.1" "2578" "3567" "1.04222e-07" "39" "8" "105"
"A2AVA0" "mmu:64817" "K17495" "CUB and sushi domain-containing protein" "KXJ30190.1" "2578" "3567" "1.28762e-07" "41" "8" "108"
"Q4LDE5" "hsa:79987" "K17495" "CUB and sushi domain-containing protein" "KXJ30190.1" "2578" "3571" "2.82741e-07" "36" "7" "92"
"Q4LDE5" "hsa:79987" "K17495" "CUB and sushi domain-containing protein" "KXJ30190.1" "2578" "3571" "1.08094e-11" "75" "32" "320"
"Q4LDE5" "hsa:79987" "K17495" "CUB and sushi domain-containing protein" "KXJ30190.1" "2578" "3571" "1.75151e-09" "42" "8" "106"
"Q6GP28" "xla:444196" "K19408" "sushi repeat-containing protein SRPX2" "KXJ30067.1" "1442" "458" "6.82329e-10" "49" "18" "159"
"Q5EA25" "bta:514742" "K19408" "sushi repeat-containing protein SRPX2" "KXJ30067.1" "1442" "465" "3.45474e-09" "52" "24" "160"
"O60687" "hsa:27286" "K19408" "sushi repeat-containing protein SRPX2" "KXJ30067.1" "1442" "465" "4.46058e-09" "50" "16" "156"
"O60687" "hsa:27286" "K19408" "sushi repeat-containing protein SRPX2" "KXJ30067.1" "1442" "465" "5.56021e-06" "30" "5" "75"
"Q8R054" "mmu:68792" "K19408" "sushi repeat-containing protein SRPX2" "KXJ30067.1" "1442" "468" "1.27965e-08" "51" "24" "160"
"B5DF94" "rno:317181" "K19408" "sushi repeat-containing protein SRPX2" "KXJ30067.1" "1442" "466" "2.2978e-08" "49" "16" "156"
"A2AVA0" "mmu:64817" "K17495" "CUB and sushi domain-containing protein" "KXJ30067.1" "1442" "3567" "2.9648e-06" "50" "18" "185"
"A2AVA0" "mmu:64817" "K17495" "CUB and sushi domain-containing protein" "KXJ30115.1" "5688" "3567" "3.20649e-15" "87" "45" "342"
"Q4LDE5" "hsa:79987" "K17495" "CUB and sushi domain-containing protein" "KXJ30115.1" "5688" "3571" "1.42934e-13" "90" "50" "345"
"Q96RW7" "hsa:83872" "K17341" "hemicentin" "KXJ30115.1" "5688" "5635" "1.71459e-08" "40" "21" "122"
"Q96RW7" "hsa:83872" "K17341" "hemicentin" "KXJ30115.1" "5688" "5635" "4.69885e-06" "39" "15" "121"
"Q14767" "hsa:4053" "K08023" "latent transforming growth factor beta binding protein 2/3/4" "KXJ30115.1" "5688" "1821" "1.02277e-07" "45" "18" "124"
"Q2Q426" "mcc:654420" "K08443" "egf-like module containing, mucin-like, hormone receptor-like 2" "KXJ30115.1" "5688" "822" "1.19893e-07" "38" "28" "110"
"Q28019" "bta:281905" "K08023" "latent transforming growth factor beta binding protein 2/3/4" "KXJ30115.1" "5688" "1842" "2.06038e-07" "45" "16" "123"
"P48960" "hsa:976" "K08446" "CD97 antigen" "KXJ30115.1" "5688" "835" "1.2213e-06" "48" "27" "154"
"Q5RC26" "pon:100172278" "K17340" "fibulin 5" "KXJ30115.1" "5688" "448" "4.81011e-06" "42" "18" "132"
"Q9UBX5" "hsa:10516" "K17340" "fibulin 5" "KXJ30115.1" "5688" "448" "4.89389e-06" "42" "18" "132"
"Q8N884" "hsa:115004" "K17834" "cyclic GMP-AMP synthase [EC:2.7.7.86]" "KXJ30136.1" "3778" "522" "2.65863e-08" "51" "31" "191"
"I3LM39" "ssc:100516408" "K17834" "cyclic GMP-AMP synthase [EC:2.7.7.86]" "KXJ30136.1" "3778" "495" "4.13612e-07" "51" "39" "195"
"Q9UBQ7" "hsa:9380" "K00049" "glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]" "KXJ30110.1" "2270" "328" "5.06451e-116" "182" "0" "318"
"Q91Z53" "mmu:76238" "K00049" "glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]" "KXJ30110.1" "2270" "328" "7.33301e-113" "181" "0" "320"
"A1RYE4" "tpe:Tpen_0823" "K00015" "glyoxylate reductase [EC:1.1.1.26]" "KXJ30110.1" "2270" "339" "7.20031e-65" "138" "7" "319"
"Q9C4M5" "tlt:OCC_02245" "K00015" "glyoxylate reductase [EC:1.1.1.26]" "KXJ30110.1" "2270" "331" "1.59955e-64" "141" "9" "320"
