"Iteration_query.def","log2FoldChange","padj","Factor","ko","qCov","n","desc"
"KXJ04205.1",-2.1140274239343,0.000893714819122692,"Vibrio_Vibrio_vs_NoVibrio","K00069",0.62892011627582,4,"15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]"
"KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio","K01437",0.938835185640297,6,"aspartoacylase [EC:3.5.1.15]"
"KXJ05538.1",1.68532543791687,0.00662622877216786,"Vibrio_Vibrio_vs_NoVibrio","K04437",0.584597432905484,3,"filamin"
"KXJ05558.1",-1.06038757769763,0.00138186117608604,"Vibrio_Vibrio_vs_NoVibrio","K09863",0.815209125475285,5,"aquaporin-0"
"KXJ05589.1",1.05327301831107,0.00467835785909147,"Vibrio_Vibrio_vs_NoVibrio","K20865",0.51555136663525,1,"NACHT, LRR and PYD domains-containing protein 12"
"KXJ05757.1",-1.91061848377432,0.000974038304014847,"Vibrio_Vibrio_vs_NoVibrio","K00546",0.8767264370082,8,"histamine N-methyltransferase [EC:2.1.1.8]"
"KXJ05958.1",2.69562369247943,6.57046884276967e-06,"Vibrio_Vibrio_vs_NoVibrio","K15789",0.756032171581769,3,"threonine 3-dehydrogenase [EC:1.1.1.103]"
"KXJ05997.1",-1.49247014990465,0.00233323165146957,"Vibrio_Vibrio_vs_NoVibrio","K20795",0.526092400331763,3,"histone-lysine N-methyltransferase PRDM6 [EC:2.1.1.43]"
"KXJ06049.1",1.22414629512921,8.10723839335382e-06,"Vibrio_Vibrio_vs_NoVibrio","K20347",0.881879746525197,5,"p24 family protein beta-1"
"KXJ06051.1",1.81243137296248,0.00560788991565836,"Vibrio_Vibrio_vs_NoVibrio","K17253",0.597776440179868,4,"lactadherin"
