"id","ko","Iteration_query.def","log2FoldChange","padj","Factor","qCov","n","desc","category","class","path","direction"
"ko00250","K01437","KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio",0.938835185640297,6,"aspartoacylase [EC:3.5.1.15]","Metabolism"," Amino acid metabolism","Alanine, aspartate and glutamate metabolism","Down"
"ko00260","K15789","KXJ05958.1",2.69562369247943,6.57046884276967e-06,"Vibrio_Vibrio_vs_NoVibrio",0.756032171581769,3,"threonine 3-dehydrogenase [EC:1.1.1.103]","Metabolism"," Amino acid metabolism","Glycine, serine and threonine metabolism","Up"
"ko00310","K20795","KXJ05997.1",-1.49247014990465,0.00233323165146957,"Vibrio_Vibrio_vs_NoVibrio",0.526092400331763,3,"histone-lysine N-methyltransferase PRDM6 [EC:2.1.1.43]","Metabolism"," Amino acid metabolism","Lysine degradation","Down"
"ko00340","K00546","KXJ05757.1",-1.91061848377432,0.000974038304014847,"Vibrio_Vibrio_vs_NoVibrio",0.8767264370082,8,"histamine N-methyltransferase [EC:2.1.1.8]","Metabolism"," Amino acid metabolism","Histidine metabolism","Down"
"ko00340","K00546","KXJ05757.1",-1.91061848377432,0.000974038304014847,"Vibrio_Vibrio_vs_NoVibrio",0.8767264370082,8,"histamine N-methyltransferase [EC:2.1.1.8]","Metabolism"," Amino acid metabolism","Histidine metabolism","Down"
"ko00340","K01437","KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio",0.938835185640297,6,"aspartoacylase [EC:3.5.1.15]","Metabolism"," Amino acid metabolism","Histidine metabolism","Down"
"ko00340","K01437","KXJ04879.1",-1.06873677267047,0.0088493703568069,"Vibrio_Vibrio_vs_NoVibrio",0.938835185640297,6,"aspartoacylase [EC:3.5.1.15]","Metabolism"," Amino acid metabolism","Histidine metabolism","Down"
"ko04010","K04437","KXJ05538.1",1.68532543791687,0.00662622877216786,"Vibrio_Vibrio_vs_NoVibrio",0.584597432905484,3,"filamin","Environmental Information Processing"," Signal transduction","MAPK signaling pathway","Up"
"ko04014","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","Ras signaling pathway","Down"
"ko04015","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","Rap1 signaling pathway","Down"
"ko04016","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","MAPK signaling pathway - plant","Down"
"ko04020","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","Calcium signaling pathway","Down"
"ko04022","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","cGMP-PKG signaling pathway","Down"
"ko04024","K02183","KXJ07556.1",-1.1977347473733,0.00160976087942486,"Vibrio_Vibrio_vs_NoVibrio",0.771812080536913,2,"calmodulin","Environmental Information Processing"," Signal transduction","cAMP signaling pathway","Down"
