uniprot,kegg,ko,desc,Iteration_query-def,Iteration_query-len,Hit_len,Hsp_evalue,Hsp_identity,Hsp_gaps,Hsp_align-len
Q9CZV8,mmu:72194,K10268,F-box and leucine-rich repeat protein 2/20,KXJ29331.1,1782,436,1.48831E-16,86,17,327
Q96IG2,hsa:84961,K10268,F-box and leucine-rich repeat protein 2/20,KXJ29331.1,1782,436,3.62257E-16,85,17,327
A1A5X2,dre:569430,K10273,F-box and leucine-rich repeat protein 7,KXJ29331.1,1782,489,3.02681E-15,94,50,421
A6H779,bta:616212,K10268,F-box and leucine-rich repeat protein 2/20,KXJ29331.1,1782,423,4.06111E-15,93,52,373
Q8BH16,mmu:72179,K10268,F-box and leucine-rich repeat protein 2/20,KXJ29331.1,1782,423,4.32443E-15,91,21,329
Q9QZH7,rno:64039,K10268,F-box and leucine-rich repeat protein 2/20,KXJ29331.1,1782,276,4.49075E-15,71,12,244
Q5BJ29,mmu:448987,K10273,F-box and leucine-rich repeat protein 7,KXJ29331.1,1782,491,1.24647E-14,103,63,431
Q9UJT9,hsa:23194,K10273,F-box and leucine-rich repeat protein 7,KXJ29331.1,1782,491,1.77552E-14,103,63,431
Q9UKC9,hsa:25827,K10268,F-box and leucine-rich repeat protein 2/20,KXJ29331.1,1782,423,5.65549E-14,89,21,329
Q5R3Z8,pon:100174084,K10268,F-box and leucine-rich repeat protein 2/20,KXJ29331.1,1782,423,5.80925E-14,89,21,329
NA,NA,NA,NA,KXJ30207.1,NA,NA,NA,NA,NA,NA
Q8C7R7,mmu:320995,K19521,regulatory factor X 6,KXJ30097.1,2593,927,2.1199E-43,83,1,133
D2HNW6,aml:100476328,K19521,regulatory factor X 6,KXJ30097.1,2593,928,2.49759E-43,83,1,133
Q8HWS3,hsa:222546,K19521,regulatory factor X 6,KXJ30097.1,2593,928,3.01217E-43,83,1,133
Q7TNK1,mmu:71137,K09174,regulatory factor X 4,KXJ30097.1,2593,735,4.90631E-34,66,0,121
A2BGA0,dre:403016,K09174,regulatory factor X 4,KXJ30097.1,2593,735,1.31351E-33,65,0,121
Q33E94,hsa:5992,K09174,regulatory factor X 4,KXJ30097.1,2593,735,1.12013E-32,62,0,112
Q0V9K5,xtr:779608,K09173,regulatory factor X 1/2/3,KXJ30097.1,2593,749,5.59303E-07,34,28,160
B1WAV2,xtr:100144734,K09173,regulatory factor X 1/2/3,KXJ30097.1,2593,694,2.29431E-06,33,23,126
P48381,mmu:19726,K09173,regulatory factor X 1/2/3,KXJ30097.1,2593,749,3.08834E-06,34,28,160
"Q9CZ52","mmu:69538","K20909","anthrax toxin receptor","KXJ29317.1","2266","562","2.4156e-38","119","11","348"
"Q0PMD2","rno:362393","K20909","anthrax toxin receptor","KXJ29317.1","2266","562","2.21326e-30","70","5","188"
"Q9H6X2","hsa:84168","K20909","anthrax toxin receptor","KXJ29317.1","2266","564","2.55803e-30","70","5","188"
"Q9H6X2","hsa:84168","K20909","anthrax toxin receptor","KXJ29317.1","2266","564","8.88355e-06","38","2","102"
"Q6DFX2","mmu:71914","K20909","anthrax toxin receptor","KXJ29317.1","2266","487","3.42789e-30","125","67","410"
"P58335","hsa:118429","K20909","anthrax toxin receptor","KXJ29317.1","2266","489","2.63802e-29","113","9","338"
"Q8VCC1","mmu:15446","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","269","1.2285e-30","74","29","193"
"Q3T0C2","bta:512259","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","266","2.37139e-30","73","19","188"
"P15428","hsa:3248","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","266","1.20671e-28","69","19","188"
"O08699","rno:79242","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","KXJ04205.1","2262","266","8.10063e-25","73","29","198"
"P39640","bsu:BSU37720","K19548","dihydroanticapsin dehydrogenase [EC:1.1.1.385]","KXJ04205.1","2262","253","2.8188e-18","62","26","167"
